PolymerEnvironmentID,PolymerID,Category,Agent,Conditions,Verdict,Finding,SourceID,Locator,Notes
PB00012,PETG,alkali,"Sodium hydroxide, 10%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",not-resistant,"Weight change 8 %, thickness change 6 %, slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Sodium hydroxide, 10%","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00013,PETG,alkali,"Ammonium hydroxide, 10%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",limited,"Weight change 4 %, thickness change 4 %, discolored (pink), surface has blisters",R-EASTMAN-EASTAR-6763-TRS145,"p. 2 table, Ammonium hydroxide, 10%","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00014,PETG,alkali,"Ammonium hydroxide, conc.","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",not-resistant,"Weight change 29 %, thickness change 20 %, turned white, outside crumbling off",R-EASTMAN-EASTAR-6763-TRS145,"p. 2 table, Ammonium hydroxide, conc.","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00015,PETG,organic-solvent,Acetone,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",not-resistant,"Weight change 16 %, thickness change 23 %, discolored (brown), swollen, rubber-like",R-EASTMAN-EASTAR-6763-TRS145,"p. 2 table, Acetone","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00016,PETG,organic-solvent,"Ethanol, 100%","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, very slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 2 table, Ethanol, 100%","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00017,PETG,organic-solvent,Toluene,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",not-resistant,"Weight change 26 %, thickness change 31 %, turned white, softened",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Toluene","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00018,PETG,organic-solvent,Methyl alcohol,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",limited,"Weight change < 1 %, thickness change < 1 %, very slight yellowing, crazing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Methyl alcohol","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00019,PETG,oil-grease,Mineral oil,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, very slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Mineral oil","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00020,PETG,oil-grease,Motor oil,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, no change",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Motor oil","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00021,PETG,oil-grease,"Gasoline, regular","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Gasoline, regular","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00022,PETG,oil-grease,"Gasoline, premium unleaded","Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",limited,"Weight change 2 %, thickness change 3 %, discolored",R-EASTMAN-EASTAR-6763-TRS145,"p. 3 table, Gasoline, premium unleaded","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00023,PETG,water-solubility,Deionized water,"Immersion of unstressed 3.2 mm injection-moulded tensile bars at 23 °C for 1 year; % change in weight and thickness, appearance",resistant,"Weight change < 1 %, thickness change < 1 %, slight yellowing",R-EASTMAN-EASTAR-6763-TRS145,"p. 2 table, Deionized water","Scale: the reference states that a plastic would ordinarily not be suggested for continuous immersion in a reagent that causes an increase of 5 % or more in weight or thickness. Verdict reading used here: < 5 % with benign appearance = resistant; < 5 % with surface attack = limited; ≥ 5 %, or deteriorated = not-resistant."
PB00024,ABS,acid,Dilute acids,Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00025,ABS,acid,Concentrated mineral acids,Not stated,not-resistant,"Not resistant: concentrated mineral acids, aromatic and/or halogenated hydrocarbons, esters, ethers, ketones (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00026,ABS,alkali,Dilute alkalis,Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00027,ABS,organic-solvent,Alcohols,Not stated,limited,"Limited resistance: alcohols, aliphatic hydrocarbons, oils and fats (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00028,ABS,organic-solvent,"Aromatic and/or halogenated hydrocarbons, esters, ethers, ketones",Not stated,not-resistant,"Not resistant: concentrated mineral acids, aromatic and/or halogenated hydrocarbons, esters, ethers, ketones. Solvents: examples are methyl ethyl ketone, tetrahydrofuran, toluene, dimethylformamide (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00029,ABS,oil-grease,"Oils and fats, aliphatic hydrocarbons",Not stated,limited,"Limited resistance: alcohols, aliphatic hydrocarbons, oils and fats (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00030,ABS,water-solubility,"Water, aqueous salt solutions",Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00031,ASA,acid,Dilute acids,Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00032,ASA,acid,Concentrated mineral acids,Not stated,not-resistant,"Not resistant: concentrated mineral acids, aromatic and/or halogenated hydrocarbons, esters, ethers, ketones (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00033,ASA,alkali,Dilute alkalis,Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00034,ASA,organic-solvent,Alcohols,Not stated,limited,"Limited resistance: alcohols, aliphatic hydrocarbons, oils and fats (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00035,ASA,organic-solvent,"Aromatic and/or halogenated hydrocarbons, esters, ethers, ketones",Not stated,not-resistant,"Not resistant: concentrated mineral acids, aromatic and/or halogenated hydrocarbons, esters, ethers, ketones. Solvents: examples are methyl ethyl ketone, tetrahydrofuran, toluene, dimethylformamide (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00036,ASA,oil-grease,"Oils and fats, aliphatic hydrocarbons",Not stated,limited,"Limited resistance: alcohols, aliphatic hydrocarbons, oils and fats (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00037,ASA,water-solubility,"Water, aqueous salt solutions",Not stated,resistant,"Good resistance: water, aqueous salt solutions, detergent solutions, dilute acids and alkalis (overview table, column SAN, ABS, MABS, ASA)",R-BASF-STYRENE-COPOLYMERS-CHEM,p. 2 overview table,"Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA). BASF was the producer at publication (2002); the resins are now INEOS Styrolution."
PB00038,ABS,acid,Sulfuric acid (10 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,resistant,"Terluran (ABS): + at 20 °C, + at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 9 test substance table, Sulfuric acid (10 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
PB00039,ASA,acid,Sulfuric acid (10 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,resistant,"Luran S (ASA): + at 20 °C, + at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 9 test substance table, Sulfuric acid (10 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA)."
PB00040,ABS,acid,Sulfuric acid (conc.),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,not-resistant,"Terluran (ABS): - at 20 °C, - at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 10 test substance table, Sulfuric acid (conc.)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
PB00041,ASA,acid,Sulfuric acid (conc.),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,not-resistant,"Luran S (ASA): - at 20 °C, - at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 10 test substance table, Sulfuric acid (conc.)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA)."
PB00042,ABS,acid,Hydrochloric acid (conc.),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,limited,"Terluran (ABS): + at 20 °C, 0 at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 6 test substance table, Hydrochloric acid (conc.)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
PB00043,ASA,acid,Hydrochloric acid (conc.),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,limited,"Luran S (ASA): + at 20 °C, 0 at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 6 test substance table, Hydrochloric acid (conc.)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA)."
PB00044,ABS,acid,Nitric acid (30 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,limited,"Terluran (ABS): + at 20 °C, 0 at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 7 test substance table, Nitric acid (30 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
PB00045,ASA,acid,Nitric acid (30 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,limited,"Luran S (ASA): + at 20 °C, 0 at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 7 test substance table, Nitric acid (30 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA)."
PB00046,ABS,alkali,Sodium hydroxide (50 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,resistant,"Terluran (ABS): + at 20 °C, + at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 9 test substance table, Sodium hydroxide (50 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
PB00047,ASA,alkali,Sodium hydroxide (50 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,resistant,"Luran S (ASA): + at 20 °C, + at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 9 test substance table, Sodium hydroxide (50 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Luran S (ASA)."
PB00048,ABS,alkali,Potassium hydroxide (10 %),20 °C and 50 °C; pure chemicals; aqueous solutions at the stated % by weight,limited,"Terluran (ABS): + at 20 °C, 0 at 50 °C",R-BASF-STYRENE-COPOLYMERS-CHEM,"p. 8 test substance table, Potassium hydroxide (10 %)","Key: + resistant over a period of months to years; 0 limited resistance (some swelling, solvation or environmental stress cracking possible); - not resistant (severe swelling, decomposition, solvation or environmental stress cracking). Where the 20 °C and 50 °C ratings differ, the verdict here is limited and both ratings are given. Column read: Terluran (ABS)."
