PolymerID,Group,Morphology,Melting point °C,As printed,Water uptake,Neat density min kg/m³,Neat density max kg/m³,SourceID,Basis
PVDF,fluoropolymer,semicrystalline,170,crystallises while printing,Not applicable,1700,1810,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
POM,acetal,semicrystalline,175,crystallises while printing,Not applicable,1380,1440,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PVA,vinyl alcohol,semicrystalline,220,prints amorphous,Not applicable,1180,1340,Not recorded,Handbook values; prints amorphous (D56).
BVOH,vinyl alcohol,semicrystalline,190,prints amorphous,Not applicable,1120,1250,Not recorded,Handbook values; prints amorphous (D56).
PVB,vinyl acetal,amorphous,Not applicable,Not applicable,Not applicable,1050,1130,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
TPU,elastomer,elastomer,Not applicable,Not applicable,Not applicable,1050,1300,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
TPE,elastomer,elastomer,Not applicable,Not applicable,Not applicable,850,1250,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
PEBA,elastomer,elastomer,Not applicable,Not applicable,Not applicable,990,1040,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
TPC,elastomer,elastomer,Not applicable,Not applicable,Not applicable,1080,1280,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
OBC,elastomer,elastomer,Not applicable,Not applicable,Not applicable,860,900,Not recorded,"Classification and typical values from polymer handbooks and resin data sheets, as compiled for the estimate model (docs/audits/2026-09-15-filtering-estimates-data/physics/); no single source recorded."
Support,support product,amorphous,Not applicable,Not applicable,Not applicable,Not recorded,Not recorded,Not recorded,A support product is not characterised as a structural material; it carries only a classification.
PPE-PS,polyphenylene ether blend,amorphous,Not applicable,Not applicable,low,1060,1100,R-SABIC-NORYL-731-TDS,"SABIC NORYL 731, an unfilled PPE+PS blend: specific gravity 1.06 g/cm³ (ASTM D792, ISO 1183), water absorption at saturation 0.23 % (ISO 62), deflection temperature 132 °C at 0.45 MPa and Vicat 149 °C, with no melting point published. The high end of the density range is 3DXTECH's THERMAX PPE/PS at 1.10 g/cm³."
PCL,aliphatic polyester,semicrystalline,60,crystallises while printing,Not applicable,Not recorded,Not recorded,R-PERSTORP-CAPA-THERMO-PP,"Perstorp Capa thermoplastic polycaprolactone, the neat homopolymer: ""Semi-Crystalline"" (Properties & Processing of CAPA Thermoplastics, p. 1), and on p. 2 a DSC melting point of 60-62 °C, 56 % crystallinity, a crystallisation temperature of 25 °C and a glass transition of -60 °C, for both CAPA 6500 and 6800. Perstorp's Capa 6800 product data sheet gives 58-60 °C and calls it a linear polyester derived from caprolactone monomer; its safety data sheet gives 58-60 °C and says it is insoluble in water. That sheet publishes a density of 1.1 g/cm³ at 60 °C only, at the melt and not to ISO 1183, so the neat density range is Not recorded (owner ruling R052). It crystallises while printing at a melting point far below every other polymer here: a PCL part deflects near 60 °C, which is what the range brochure means by staying workable by hand."
SAN,styrenic,amorphous,Not applicable,Not applicable,Not applicable,1080,1080,R-TRINSEO-TYRIL-790-TI,"Trinseo TYRIL 790, an unfilled general-purpose styrene-acrylonitrile resin: density 1.08 g/cm3 (Technical Information, p. 1), against an apparent density of 0.69 for the pellets. The range has no width because every producer grade found publishes the same figure; INEOS Styrolution's Luran 368R and its ten-grade Lustran guide all give 1.08 g/cm3 to ISO 1183. SAN is amorphous and has no melting point."
COC,cyclic polyolefin,amorphous,Not applicable,Not applicable,Not applicable,1010,1020,R-TOPAS-COC-BROCHURE,"TOPAS cyclic olefin copolymer: ""Because of its amorphous character"" (product brochure, p. 6), with every basic grade at 1.02 g/cm3 to ISO 1183 (p. 7). TOPAS 8007S-04, an unfilled injection-moulding grade, gives the low end at 1010 kg/m3 and 0.01 % water at saturation to ISO 62, which is why the row records no water uptake. An amorphous polymer has no melting point."
PBT,aromatic polyester,semicrystalline,223,crystallises while printing,Not applicable,1300,1310,R-BASF-ULTRADUR-B4500-PI,"BASF Ultradur B 4500, the unreinforced uncoloured polybutylene terephthalate: density 1300 kg/m3 (ISO 1183), melting temperature 223 C by DSC (ISO 11357-1/-3) and an equilibrium water uptake of 0.5 % at 23 C (Product Information 02/2026, p. 2). Celanese's Crastin FG6130 agrees at 1300 kg/m3 and 225 C. It crystallises fast enough that a printed part's heat resistance follows its melting point, as the other semicrystalline polyesters here do; 0.5 % is not the uptake that moves a polyamide's modulus, so the row records none."
LCP,liquid crystal polyester,semicrystalline,280,"crystallises, not driven by its melting point",Not applicable,1400,1400,R-CELANESE-VECTRA-LCP-GUIDE,"Celanese Vectra liquid crystal polymer: a melting point of 280 C to ISO 11357 and a density of 1.40 g/cm3 for A950 and V400P, its two unfilled extrudable grades (short term properties guide, pp. 6 and 11). Its order is nematic rather than lamellar, which none of this database's three morphologies names exactly; semicrystalline is the closest, and what follows from it - that a printed part's heat resistance is not set by the melting point - is stated in the column beside it, as it is for PPS (D56)."
PBAT,aliphatic-aromatic copolyester,semicrystalline,115,crystallises while printing,Not applicable,1250,1270,R-BASF-ECOFLEX-C1200-PI,"BASF ecoflex F Blend C1200, an unfilled polybutylene adipate terephthalate: ""biodegradable, statistical, aliphatic-aromatic copolyester"" with a mass density of 1.25 to 1.27 g/cm3 (ISO 1183), a DSC melting point of 110 to 120 C and a Vicat A/50 of 91 C (Product Information Version 3.0, pp. 1 and 3). The melting point recorded is the midpoint of the published range."
PVC,vinyl chloride,amorphous,Not applicable,Not applicable,Not applicable,Not recorded,Not recorded,R-SCG-PVC-RESIN-SDS,"Polyvinyl chloride is sold as a powder, and its producers publish what a powder has: Vynova's S5702 sheet gives a bulk density of 570 kg/m3 and no polymer density, and OxyChem's own Vinyl Handbook covers apparent bulk density only. The one figure found in a producer document is a specific gravity of 1.4 in SCGC's safety data sheet (Section 9), with no test method beside it, which is not a density range this database would bound an estimate with. Both columns therefore say Not recorded, as PCL's do (R052, R057). Unplasticised PVC is amorphous and has no melting point; a plasticised compound says so on its grade."
PA11,aliphatic polyamide,semicrystalline,186,crystallises while printing,low,1020,1040,R-ARKEMA-RILSAN-BESNO-TL-TDS,"Arkema Rilsan BESNO TL, an unfilled heat- and light-stabilised polyamide 11 extrusion grade (ISO 16396 - PA11, EG1HL, C22-010): density 1.02 g/cm3 at 23 C to ISO 1183-1 and a melting temperature of 186 C by DSC to ISO 11357-1/-3 (technical data sheet, p. 2); Rilsan BESNO MED, the medical tube grade, prints the same two figures. The powder grade PA11 ES NAT MAC gives a coating density of 1.04 g/cm3 to ISO 1183-1, the upper end. Arkema's Rilsan PA11 brochure says it is a semi-crystalline polymer with a melting range of 180 to 189 C depending on the grade and a glass transition at about 45 C (p. 4), and that among all performance polyamides it has very low moisture pick-up (p. 3), which is what the water uptake column records as low, as PA12's does. It crystallises in a print as the other aliphatic polyamides here do."
SEBS,elastomer,elastomer,Not applicable,Not applicable,Not applicable,900,910,R-KRATON-G1650M-TDS,"Kraton G1650 M, a clear linear styrene-ethylene/butylene-styrene triblock copolymer with a polystyrene content of 30 %: specific gravity 0.91 to ASTM D4025, Shore A 72 at 10 s, melt index 1 g/10 min at 230 C / 5 kg (technical data sheet K0656, p. 1). Kraton's product guide lists its seven SEBS grades, G1633 to G1657, at a specific gravity of 0.90 to 0.91 (p. 14), which is the range. A styrenic block copolymer is an elastomer with glassy polystyrene domains in a rubbery midblock: no melting point, nothing crystallises on printing, and water uptake is Not applicable as it is for TPE and TPU. A filament of it is a compound (oil, a polyolefin, a filler), and one denser than the neat polymer declares its load as a Variant (R078)."
PLA-PHA,polylactide,amorphous,Not applicable,Not applicable,Not applicable,1200,1240,R-COLORFABB-PLA-PHA-PAGE,"colorFabb's own blend of polylactide with a polyhydroxyalkanoate, which it compounds and is the only producer of: ""Colorfabb developed its own unique PLA blend for 3D printing, namely PLA/PHA. The added PHA makes our grade of PLA tougher and less brittle than generic PLA grades"" (its data sheet, SHA-256 d92bf0040ab5..., p. 1), and its family page says the same in three words: 100 % biobased, less brittle than PLA. That sheet gives a density of 1.24 g/cm3 (ISO 1183) and a melting temperature above 155 C (ISO 3146-C); the later revision (SHA-256 d9edb7dbfbf7...) gives 1.2 g/cm3, a melting temperature above 155 C by DSC to ISO 11357, a glass transition it prints as N/A and an HDT-B of 51 C. Both sheets enter with batch b25 as cited sources of their grades. A PLA-dominant blend prints amorphous as PLA does here - its HDT-B sits a hundred degrees below its melting point - so the melting point column is Not applicable, as PLA's and PC-ABS's are. R082: a blend is identified by its own name, and this row is that name."
PLA-PHB,polylactide,semicrystalline,184,crystallises while printing,low,1200,1200,R-PANARA-NONOILEN-TF-3066-8-TDS,"NonOilen, the polylactic acid / polyhydroxybutyrate blend Panara a.s. compounds and Fillamentum extrudes: ""thermoplastic material based on biodegradable polymer blends made of 100% renewable raw materials"" (Panara TF 3066-8 sheet, p. 1), and ""made of polylactic acid and polyhydroxy butyrate blend (PLA/PHB)"" with the PHB raising toughness and temperature resistance over PLA (Fillamentum's information sheet, p. 1). Panara's sheet for its TF 3066-8 grade gives a density of 1.2 g/cm3 at 23 C to ISO 1183, a melting point of 184 C by DSC, a crystallisation temperature of 110 C and an HDT-B of 107 C (pp. 1-2); the filament's own sheet (SHA-256 03d0c0a5dd7e..., entering with batch b25) gives 1.20 g/cm3 to ISO 1183, a heat distortion temperature of 119 C at 0.45 MPa and a Vicat of 150 C as printed, ""no need for annealing"". A blend that crystallises at 110 C on cooling and deflects at 119 C without annealing has crystallised in the print, which is what the PHB is there for: semicrystalline, crystallises while printing. The density has no width because both producers publish one figure. Water uptake is low, as PLA's compounds are. R082 named NonOilen with colorFabb's PLA/PHA, and they are two rows: colorFabb's deflects at 51 C and this at 119 C, and one row cannot be amorphous and crystallising at once."
