CoverageID,MaterialID,Domain,Status,Manufacturer count,Finding
C00045,M091,Grades,Resolved,Not applicable,Panchroma CoPE (G091-02) recorded 2026-09-13 as the exact CoPE identity and representative grade. G091-01 duplicated Fillamentum CPE HG100 and is retained only as an audit trail.
C00046,M092,Grades,Gap,1,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00047,M093,Grades,Superseded,Not applicable,"Superseded by C01201 (2026-09-16; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00048,M095,Grades,Superseded,Not applicable,"Superseded by C01223 (2026-09-19; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00049,M096,Grades,Gap,1,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00050,M097,Grades,Superseded,Not applicable,"Superseded by C01228 (2026-09-19; was ""Gap""): 2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00051,M098,Grades,Gap,1,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00052,M099,Grades,Gap,2,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00053,M100,Grades,Gap,1,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00054,M101,Grades,Gap,1,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00055,M102,Grades,Gap,2,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
C00056,M099,Source conflict,Partially resolved,Not applicable,"Partially resolved 2026-09-11. The unit ""pm/(m-C)"" is a rendering corruption of ""um/(m-C)"": the reference Stratasys ULTEM 9085 FDM datasheet reports mean CTE per ASTM E831 between 31.35 and 51.88 um/[m*C] for the same resin, and pm/(m-C) is ~6 orders of magnitude from any polymer CTE. Unit reading is therefore supported, but NOT applied: the 629.9 cross-flow ZX figure remains more than 10x any published PEI value and cannot be reconciled, so no CTE is normalized from this table. PEI is outside the H2C envelope, so this is low priority. Action: request the original ASTM E831 report."
C00057,M097,Source conflict,Partially resolved,Not applicable,"Partially resolved 2026-09-11. The malformed row gives 0.29 with the W missing from the dimensional unit; 0.29 W/(m-K) is within the published range for unfilled PEEK (~0.25-0.29), so the reading is plausible - but it is an inference from the literature, not the source, so no conductivity is normalized. PEEK is outside the H2C envelope, so this is low priority. Action: request the ISO 22007 report or a corrected TDS."
C00058,M066,Source conflict,Resolved,Not applicable,"Resolved 2026-09-11 by direct visual read of the FormFutura High Precision PET TDS (user-supplied copy, image-only PDF, SHA256 confirmed identical to the file already cited as S-PET-TDS; no extractable text layer, so it required manual review). The document itself mislabels the row - the row label reads ""Rockwell hardness"" but the value cell reads ""75,3 Shore D"". This is a genuine defect in the manufacturer document, not a transcription error. Value recorded as Shore D 75.3 (new row V001807); no test method is stated for this row. Note also confirmed: all other PET (M066) properties already in the workbook (density, tensile, flexural, HDT, Vicat, Tg) match this same source exactly - no other transcription issues found on this sheet."
C00059,M069,AMS compatibility,Resolved,Not applicable,"Resolved 2026-09-11 against the current IPCON PPA TDS (rev 2025-11): the internal contradiction is gone - the Main Features text says ""compatible with AMS or CFS"" AND the Recommended Printing Settings table lists ""Enclosed-frame (recommended), open-frame, AMS or CFS"". Treat this as a manufacturer claim about generic spool/feed suitability only. Official H2C routing and AMS support remain governed by H2C-WIKI / H2C-MANUAL, which are unchanged; do not upgrade the H2C routing on the strength of this TDS."
C00060,M097,Printing,Resolved,Not applicable,"Resolved as non-blocking 2026-09-11. The H2C hardware baseline is 350 C nozzle / 120 C bed / 65 C chamber (Method H2C row; confirmed on the Bambu H2C specification page). Every published 3DXTECH PEEK range exceeds it - the current TDS printed-specimen block gives 380-400 C nozzle and 130-140 C bed, and both previously recorded ranges (360-450/120-160 and 400-480/140-180) are also out of envelope. The conflict therefore cannot change the exclusion, and both ranges are retained without reconciliation."
C00061,M031,Research conflict,Partially resolved,Not applicable,"Confirmed as a real defect in the source, 2026-09-11, by recomputing the published percentages against the published ultimate strengths: ASA sigma_R 16.82 MPa, so the stated ""25 % = 8 MPa"" fatigue limit should be 4.2 MPa; PC sigma_R 61.6 MPa, so ""7 % = 3.6 MPa"" should be 4.3 MPa; PC-ABS sigma_R 52.7 MPa, so ""15 % = 4.7 MPa"" should be 7.9 MPa. Only PA12 is self-consistent (17 % x 43.4 = 7.4 MPa). The percentage-derived limits and the absolute stresses cannot both be right, so the existing conservative handling stands: retain measured stress and cycle observations only, and continue to reject the percentage-derived limits and the ""infinite life"" language (a 1e6-cycle run-out is right-censored). Authors should still be contacted for the raw data."
C00062,M035,Research conflict,Partially resolved,Not applicable,"Confirmed as a real defect in the source, 2026-09-11, by recomputing the published percentages against the published ultimate strengths: ASA sigma_R 16.82 MPa, so the stated ""25 % = 8 MPa"" fatigue limit should be 4.2 MPa; PC sigma_R 61.6 MPa, so ""7 % = 3.6 MPa"" should be 4.3 MPa; PC-ABS sigma_R 52.7 MPa, so ""15 % = 4.7 MPa"" should be 7.9 MPa. Only PA12 is self-consistent (17 % x 43.4 = 7.4 MPa). The percentage-derived limits and the absolute stresses cannot both be right, so the existing conservative handling stands: retain measured stress and cycle observations only, and continue to reject the percentage-derived limits and the ""infinite life"" language (a 1e6-cycle run-out is right-censored). Authors should still be contacted for the raw data."
C00063,M052,Research conflict,Partially resolved,Not applicable,"Confirmed as a real defect in the source, 2026-09-11, by recomputing the published percentages against the published ultimate strengths: ASA sigma_R 16.82 MPa, so the stated ""25 % = 8 MPa"" fatigue limit should be 4.2 MPa; PC sigma_R 61.6 MPa, so ""7 % = 3.6 MPa"" should be 4.3 MPa; PC-ABS sigma_R 52.7 MPa, so ""15 % = 4.7 MPa"" should be 7.9 MPa. Only PA12 is self-consistent (17 % x 43.4 = 7.4 MPa). The percentage-derived limits and the absolute stresses cannot both be right, so the existing conservative handling stands: retain measured stress and cycle observations only, and continue to reject the percentage-derived limits and the ""infinite life"" language (a 1e6-cycle run-out is right-censored). Authors should still be contacted for the raw data."
C00064,M094,Research conflict,Partially resolved,Not applicable,"Confirmed as a real defect in the source, 2026-09-11, by recomputing the published percentages against the published ultimate strengths: ASA sigma_R 16.82 MPa, so the stated ""25 % = 8 MPa"" fatigue limit should be 4.2 MPa; PC sigma_R 61.6 MPa, so ""7 % = 3.6 MPa"" should be 4.3 MPa; PC-ABS sigma_R 52.7 MPa, so ""15 % = 4.7 MPa"" should be 7.9 MPa. Only PA12 is self-consistent (17 % x 43.4 = 7.4 MPa). The percentage-derived limits and the absolute stresses cannot both be right, so the existing conservative handling stands: retain measured stress and cycle observations only, and continue to reject the percentage-derived limits and the ""infinite life"" language (a 1e6-cycle run-out is right-censored). Authors should still be contacted for the raw data."
C00071,M001,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00072,M001,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00073,M001,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00074,M001,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00081,M002,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00083,M002,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00084,M002,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00091,M003,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00093,M003,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00094,M003,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00097,M004,Print setup,Evidence recorded,Not applicable,eSUN PLA-Lite printing parameters recorded as P0161; no enclosure needed.
C00098,M004,Mechanical,Evidence recorded,Not applicable,"eSUN PLA-Lite XY and Z tensile strength, elongation, flexural and Izod values recorded. Tensile modulus is not published; 3114.92 MPa is flexural and is not substituted."
C00099,M004,Thermal,Partially resolved,Not applicable,"HDT 53 °C recorded; the page states neither the standard nor the load, so it carries the load-not-stated caveat."
C00100,M004,Moisture / environmental,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00101,M004,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00102,M004,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00103,M004,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00110,M005,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00111,M005,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00112,M005,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00113,M005,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00120,M006,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00122,M006,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00123,M006,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00130,M007,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00132,M007,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00133,M007,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00136,M008,Print setup,Evidence recorded,Not applicable,Panchroma Silk PLA printing guidance recorded as P0162; enclosure not needed.
C00137,M008,Mechanical,Partially resolved,Not applicable,"Printed XY modulus and strength, Z strength and notched Charpy recorded from the Panchroma TDS V2.1. Elongation at break is not published."
C00138,M008,Thermal,Superseded,Not applicable,"Superseded by C01208 (2026-09-16; was ""Partially resolved""): Vicat 64.7 °C recorded. HDT is not published, and Vicat is not substituted for it."
C00139,M008,Moisture / environmental,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00140,M008,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00141,M008,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00142,M008,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00149,M009,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00151,M009,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00152,M009,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00159,M010,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00161,M010,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00162,M010,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00169,M011,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00171,M011,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00172,M011,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00179,M012,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00181,M012,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00182,M012,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00189,M013,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00191,M013,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00192,M013,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00199,M014,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00201,M014,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00202,M014,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00209,M015,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00211,M015,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00212,M015,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00219,M016,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00221,M016,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00222,M016,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00229,M017,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00231,M017,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00232,M017,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00239,M018,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00241,M018,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00242,M018,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00249,M019,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00250,M019,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00251,M019,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00252,M019,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00259,M020,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00260,M020,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00261,M020,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00262,M020,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00269,M021,Post-processing / application,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00271,M021,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00272,M021,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00279,M022,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00280,M022,Canadian price,Gap,Not applicable,Insufficient grade-specific evidence in sampled sources. Shared family notes may be available; no numerical substitution.
C00281,M022,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00282,M022,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00289,M023,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00291,M023,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00292,M023,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00299,M024,Post-processing / application,Evidence recorded,Not applicable,Evidence-specific finishing and use notes. Missing individual methods are not inferred.
C00301,M024,Sparse properties,Gap,Not applicable,"Not published in sampled selected-grade evidence: Compression strength, Coefficient of thermal expansion, Thermal conductivity, Fracture toughness, Fatigue life, Creep compliance, Coefficient of friction"
C00302,M024,Comparability,Limited comparability,Not applicable,At least one observation lacks specimen or conditioning information; no family aggregation performed.
C00305,M025,Print setup,Evidence recorded,Not applicable,"Eryone PETG-GF TDS recorded 2026-09-13: nozzle 250-280 °C, bed 60-70 °C, closed printing."
