MaterialID,Original name,Family,H2C status,Representative grade,Best uses,Limitations,Full name,Scope,Abbreviation,Base polymer,Estimate identity,Modifier / filler,Variant class,Role,Identity notes
M013,PLA Sparkle,PLA,Official Bambu product,G013-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Sparkle,H2C-relevant,PLA Sparkle,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
M014,PLA Wood,PLA,Official Bambu product,G014-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Wood-Effect / Wood-Filled,H2C-relevant,PLA Wood,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
M015,PLA Galaxy,PLA,Official Bambu product,G015-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Galaxy-Effect,H2C-relevant,PLA Galaxy,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
M016,PLA Glow,PLA,Official Bambu product,G016-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Polylactic Acid - Glow-in-the-Dark,H2C-relevant,PLA Glow,PLA,PLA,Commercial variant / undisclosed,particle-filled,Structural / functional / appearance,Not applicable
M017,PLA Aero,PLA,Official Bambu product,G017-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Lightweight / Foaming Polylactic Acid,H2C-relevant,PLA Aero,PLA,PLA,Foaming,Not applicable,Structural / functional / appearance,Not applicable
M018,PLA-CF,PLA,Official Bambu product,G018-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Carbon-Fiber-Reinforced Polylactic Acid,H2C-relevant,PLA-CF,PLA,PLA,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M019,PLA-GF,PLA,Officially listed family,G019-01,"Family context in Q00271, Q00272, Q00273, Q00274, Q00275, Q00276, Q00277",Not published,Glass-Fiber-Reinforced Polylactic Acid,H2C-relevant,PLA-GF,PLA,PLA,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M020,PETG,PETG,Officially listed family,G020-01,"Holders, brackets and general functional parts; favourable interlayer bonding.",Not published,Polyethylene Terephthalate Glycol-Modified,H2C-relevant,PETG,PETG,PETG,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M021,PETG Basic,PETG,Official Bambu product,G021-01,"Family context in Q00278, Q00279, Q00280, Q00281",Current page describes all-new PETG Basic; older Basic data must remain separate.,Polyethylene Terephthalate Glycol-Modified - Basic,H2C-relevant,PETG Basic,PETG,PETG,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Current page describes all-new PETG Basic; older Basic data must remain separate.
M022,PETG HF,PETG,Official Bambu product,G022-01,"Family context in Q00278, Q00279, Q00280, Q00281",Not published,Polyethylene Terephthalate Glycol-Modified - High Flow,H2C-relevant,PETG HF,PETG,PETG,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M023,PETG Translucent,PETG,Official Bambu product,G023-01,"Family context in Q00278, Q00279, Q00280, Q00281",Not published,Polyethylene Terephthalate Glycol-Modified - Translucent,H2C-relevant,PETG Translucent,PETG,PETG,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M024,PETG-CF,PETG,Official Bambu product,G024-01,"Family context in Q00278, Q00279, Q00280, Q00281",Not published,Carbon-Fiber-Reinforced PETG,H2C-relevant,PETG-CF,PETG,PETG,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M025,PETG-GF,PETG,Officially listed family,G025-02,"Family context in Q00278, Q00279, Q00280, Q00281",Not published,Glass-Fiber-Reinforced PETG,H2C-relevant,PETG-GF,PETG,PETG,Glass fibre,Not applicable,Structural / functional / appearance,"Representative grade changed 2026-09-13 from iSANMATE PETG Glass Fiber (G025-01, no specimen direction published) to Eryone PETG-GF (G025-02, printed X-Y data, 10% glass fibre). iSANMATE was not overwritten."
M026,PETG-ESD,PETG,Theoretical,G026-01,"Family context in Q00278, Q00279, Q00280, Q00281",Not published,Electrostatic-Dissipative PETG,H2C-relevant,PETG-ESD,PETG,PETG,ESD formulation,Not applicable,Structural / functional / appearance,Not applicable
M027,ABS,ABS,Official Bambu product,G027-01,Economical technical housings and parts that benefit from acetone finishing.,Not published,Acrylonitrile Butadiene Styrene,H2C-relevant,ABS,ABS,ABS,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M028,ABS-GF,ABS,Official Bambu product,G028-01,"Family context in Q00282, Q00283, Q00284, Q00285",Not published,Glass-Fiber-Reinforced Acrylonitrile Butadiene Styrene,H2C-relevant,ABS-GF,ABS,ABS,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M029,ABS-CF,ABS,Officially listed family,G029-01,"Family context in Q00282, Q00283, Q00284, Q00285",Not published,Carbon-Fiber-Reinforced Acrylonitrile Butadiene Styrene,H2C-relevant,ABS-CF,ABS,ABS,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M030,ABS-ESD,ABS,Theoretical,G030-01,"Family context in Q00282, Q00283, Q00284, Q00285",Not published,Electrostatic-Dissipative Acrylonitrile Butadiene Styrene,H2C-relevant,ABS-ESD,ABS,ABS,ESD formulation,Not applicable,Structural / functional / appearance,Not applicable
M031,ASA,ASA,Official Bambu product,G031-01,"Weather-exposed covers, brackets and outdoor technical components.",Not published,Acrylonitrile Styrene Acrylate,H2C-relevant,ASA,ASA,ASA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M032,ASA Aero,ASA,Official Bambu product,G032-01,"Family context in Q00286, Q00287, Q00288, Q00289",Not published,Lightweight / Foaming Acrylonitrile Styrene Acrylate,H2C-relevant,ASA Aero,ASA,ASA,Foaming,Not applicable,Structural / functional / appearance,Not applicable
M033,ASA-CF,ASA,Official Bambu product,G033-01,"Family context in Q00286, Q00287, Q00288, Q00289",Not published,Carbon-Fiber-Reinforced Acrylonitrile Styrene Acrylate,H2C-relevant,ASA-CF,ASA,ASA,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M034,ASA-GF,ASA,Officially listed family,G034-03,"Family context in Q00286, Q00287, Q00288, Q00289",Not published,Glass-Fiber-Reinforced Acrylonitrile Styrene Acrylate,H2C-relevant,ASA-GF,ASA,ASA,Glass fibre,Not applicable,Structural / functional / appearance,"Representative grade changed 2026-09-13 from Spectrum ASA-X GF10 (G034-01), whose mechanical and HDT values are injection moulded per its TDS, to IPCON ASA GF (G034-03), which publishes printed XY and Z data. Flashforge ASAGF10 (G034-04) added."
M035,PC,Polycarbonate,Official Bambu product,G035-01,Heat-resistant technical components requiring stiffness and mechanical durability.,Not published,Polycarbonate,H2C-relevant,PC,PC,PC,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M036,PC FR,Polycarbonate,Official Bambu product,G036-01,"Family context in Q00290, Q00291, Q00292, Q00293",Not published,Flame-Retardant Polycarbonate,H2C-relevant,PC FR,PC,PC,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M037,PC-CF,Polycarbonate,Officially listed family,G037-01,"Family context in Q00290, Q00291, Q00292, Q00293",Not published,Carbon-Fiber-Reinforced Polycarbonate,H2C-relevant,PC-CF,PC,PC,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M038,PC-GF,Polycarbonate,Officially listed family,G038-02,"Family context in Q00290, Q00291, Q00292, Q00293",Not published,Glass-Fiber-Reinforced Polycarbonate,H2C-relevant,PC-GF,PC,PC,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M039,TPU,Flexible Elastomers,Officially listed family,G039-01,"Compliant pads, protective sleeves, seals and flexible components; geometry strongly affects compliance.",Not published,Thermoplastic Polyurethane,H2C-relevant,TPU,TPU,TPU,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M040,TPU for AMS,Flexible Elastomers,Official Bambu product,G040-01,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,Thermoplastic Polyurethane for Automatic Material System,H2C-relevant,TPU for AMS,TPU,TPU,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M041,TPU 95A HF,Flexible Elastomers,Official Bambu product,G041-01,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,"Thermoplastic Polyurethane, Shore 95A - High Flow",H2C-relevant,TPU 95A HF,TPU,TPU,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M042,TPU 90A,Flexible Elastomers,Official Bambu product,G042-01,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,"Thermoplastic Polyurethane, Shore 90A",H2C-relevant,TPU 90A,TPU,TPU,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M043,TPU 85A,Flexible Elastomers,Official Bambu product,G043-01,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,"Thermoplastic Polyurethane, Shore 85A",H2C-relevant,TPU 85A,TPU,TPU,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,Not applicable
M044,TPE,Flexible Elastomers,Theoretical,Not published,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,Thermoplastic Elastomer,Family entry,TPE,TPE,TPE,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"TPE is a family entry for thermoplastic elastomers: TPU (all grades), PEBA, TPC / TPEE, OBC. Until 2026-09-13 this row held products that belong to those rows, so their numbers appeared twice; the products now live only in their own rows (docs/audits/2026-09-13-duplicate-products/)."
M045,PEBA,Flexible Elastomers,Theoretical,G045-01,"Family context in Q00294, Q00295, Q00296, Q00297",Not published,Polyether Block Amide,H2C-relevant,PEBA,PEBA,PEBA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M046,TPC / TPEE,Flexible Elastomers,Theoretical,G046-01,"Family context in Q00294, Q00295, Q00296, Q00297",TPC / TPEE are elastomer-family synonyms; do not equate to rigid CPE.,Thermoplastic Copolyester / Thermoplastic Polyester Elastomer,H2C-relevant,TPC / TPEE,TPC,TPC,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,TPC / TPEE are elastomer-family synonyms; do not equate to rigid CPE.
M047,PA,Nylon / Polyamide,Officially listed family,Not published,"Wear-resistant technical parts, resilient components and functional mechanisms.",Not published,Polyamide (Nylon),Family entry,PA,PA,PA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"PA is a family entry for unfilled aliphatic polyamides: PA6, PA6/66, PA66, PA12, PA612. Until 2026-09-13 this row held products that belong to those rows, so their numbers appeared twice; the products now live only in their own rows (docs/audits/2026-09-13-duplicate-products/)."
M048,PAHT-CF,Nylon / Polyamide,Official Bambu product,G048-01,Not published,Not published,Carbon-Fiber-Reinforced High-Temperature Polyamide,H2C-relevant,PAHT-CF,PAHT,PAHT,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M049,PA6,Nylon / Polyamide,Theoretical,G049-01,Not published,Not published,Polyamide 6 (Nylon 6),H2C-relevant,PA6,PA6,PA6,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Represented by Spectrum PA6 Neat, whose 1.25 g/cm³ and 3.4 GPa show an undisclosed dense filler: the values are that compound's, not neat PA6's (audit 2026-09-15)."
M050,PA6-CF,Nylon / Polyamide,Official Bambu product,G050-01,Not published,Not published,Carbon-Fiber-Reinforced Polyamide 6,H2C-relevant,PA6-CF,PA6,PA6,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M051,PA6-GF,Nylon / Polyamide,Official Bambu product,G051-01,Not published,Not published,Glass-Fiber-Reinforced Polyamide 6,H2C-relevant,PA6-GF,PA6,PA6,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M052,PA12,Nylon / Polyamide,Theoretical,G052-01,"Unfilled, resilient nylon parts when fibre reinforcement is unnecessary.",Not published,Polyamide 12 (Nylon 12),H2C-relevant,PA12,PA12,PA12,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M053,PA12-CF,Nylon / Polyamide,Theoretical,G053-01,Not published,Not published,Carbon-Fiber-Reinforced Polyamide 12,H2C-relevant,PA12-CF,PA12,PA12,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M054,PA12-GF,Nylon / Polyamide,Theoretical,G054-01,Not published,Not published,Glass-Fiber-Reinforced Polyamide 12,H2C-relevant,PA12-GF,PA12,PA12,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M055,PA66,Nylon / Polyamide,Conditional,Not published,Not published,Pure PA66 filament TDS not located; PA6/66 copolymer is not a substitute.,Polyamide 66 (Nylon 66),H2C-relevant,PA66,PA66,PA66,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Pure PA66 filament TDS not located; PA6/66 copolymer is not a substitute.
M056,PA66-CF,Nylon / Polyamide,Conditional,Not published,Not published,"ABC3D Canadian PA66-CF listing found, but page access failed; no numbers imported.",Carbon-Fiber-Reinforced Polyamide 66,H2C-relevant,PA66-CF,PA66,PA66,Carbon fibre,Not applicable,Structural / functional / appearance,"ABC3D Canadian PA66-CF listing found, but page access failed; no numbers imported."
M057,PA6/66,Nylon / Polyamide,Theoretical,G057-01,Not published,"Copolymer, not PA66 homopolymer or PA612.",Polyamide 6/66 Copolymer (Nylon 6/66),H2C-relevant,PA6/66,PA6/66,PA6/66,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Copolymer, not PA66 homopolymer or PA612."
M058,PA612,Nylon / Polyamide,Conditional,Not published,Not published,Unfilled PA612 filament TDS not located; do not infer from PA612-CF.,Polyamide 612 (Nylon 612),H2C-relevant,PA612,PA612,PA612,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Unfilled PA612 filament TDS not located; do not infer from PA612-CF.
M059,PA612-CF,Nylon / Polyamide,Theoretical,G059-01,Not published,Not published,Carbon-Fiber-Reinforced Polyamide 612,H2C-relevant,PA612-CF,PA612,PA612,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M060,PA612-GF,Nylon / Polyamide,Conditional,Not published,Not published,Exact documented formulation not located in sampled manufacturers.,Glass-Fiber-Reinforced Polyamide 612,H2C-relevant,PA612-GF,PA612,PA612,Glass fibre,Not applicable,Structural / functional / appearance,Exact documented formulation not located in sampled manufacturers.
M061,CoPA,Nylon / Polyamide,Theoretical,Not published,Not published,Not published,Copolyamide,Family entry,CoPA,CoPA,CoPA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"CoPA is an alias of PA6/66: both products it held are nylon 6 and 6,6 copolymers. Until 2026-09-13 this row held products that belong to those rows, so their numbers appeared twice; the products now live only in their own rows (docs/audits/2026-09-13-duplicate-products/)."
M062,PA-CF,Nylon / Polyamide,Officially listed family,Not published,"Family context in Q00298, Q00299, Q00300",Not published,Carbon-Fiber-Reinforced Polyamide,Family entry,PA-CF,PA,PA,Carbon fibre,Not applicable,Structural / functional / appearance,"PA-CF is a family entry for carbon-fibre polyamides: PA6-CF, PA66-CF, PA12-CF, PA612-CF, PAHT-CF. Until 2026-09-13 this row held products that belong to those rows, so their numbers appeared twice; the products now live only in their own rows (docs/audits/2026-09-13-duplicate-products/)."
M063,PA-GF,Nylon / Polyamide,Officially listed family,Not published,"Family context in Q00298, Q00299, Q00300",Not published,Glass-Fiber-Reinforced Polyamide,Family entry,PA-GF,PA,PA,Glass fibre,Not applicable,Structural / functional / appearance,"PA-GF is a family entry for glass-fibre polyamides: PA6-GF, PA12-GF, PA612-GF. Until 2026-09-13 this row held products that belong to those rows, so their numbers appeared twice; the products now live only in their own rows (docs/audits/2026-09-13-duplicate-products/)."
M064,PA-ESD,Nylon / Polyamide,Theoretical,G064-01,"Family context in Q00298, Q00299, Q00300",Not published,Electrostatic-Dissipative Polyamide,H2C-relevant,PA-ESD,PA,PA,ESD formulation,Not applicable,Structural / functional / appearance,Not applicable
M065,PA612-ESD,Nylon / Polyamide,Theoretical,G065-01,Not published,Not published,Electrostatic-Dissipative Polyamide 612,H2C-relevant,PA612-ESD,PA612,PA612,ESD formulation,Not applicable,Structural / functional / appearance,Not applicable
M066,PET,PET Engineering,Officially listed family,G066-01,Detailed functional prints and high surface quality are intended uses.,Not published,Polyethylene Terephthalate,H2C-relevant,PET,PET,PET,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M067,PET-CF,PET Engineering,Official Bambu product,G067-01,Not published,Not published,Carbon-Fiber-Reinforced Polyethylene Terephthalate,H2C-relevant,PET-CF,PET,PET,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M068,PET-GF,PET Engineering,Officially listed family,G068-02,"Automotive components, electronic housings, jigs and fixtures are manufacturer-proposed applications. No design allowable is supplied.",Not published,Glass-Fiber-Reinforced Polyethylene Terephthalate,H2C-relevant,PET-GF,PET,PET,Glass fibre,Not applicable,Structural / functional / appearance,"Representative grade changed 2026-09-13 from Flashforge PET-GF (G068-01, no published properties) to Fiberon PET-GF15 (G068-02), which publishes printed test data. Flashforge was not overwritten. The annealed HDT of 133.7 °C is on record and is not the headline."
M069,PPA,High-Performance Engineering,Conditional,G069-01,Heat- and moisture-exposed insulating or wear components are proposed.,Not published,Polyphthalamide,H2C-relevant,PPA,PPA,PPA,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M070,PPA-CF,High-Performance Engineering,Official Bambu product,G070-01,Not published,Not published,Carbon-Fiber-Reinforced Polyphthalamide,H2C-relevant,PPA-CF,PPA,PPA,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M071,PPA-GF,High-Performance Engineering,Officially listed family,G071-01,"Insulating parts for machinery, electronics and automotive temperature exposure.",Not published,Glass-Fiber-Reinforced Polyphthalamide,H2C-relevant,PPA-GF,PPA,PPA,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M072,PPS,High-Performance Engineering,Officially listed family,G072-01,Not published,Not published,Polyphenylene Sulfide,H2C-relevant,PPS,PPS,PPS,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M073,PPS-CF,High-Performance Engineering,Official Bambu product,G073-01,Not published,Not published,Carbon-Fiber-Reinforced Polyphenylene Sulfide,H2C-relevant,PPS-CF,PPS,PPS,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M074,PPS-GF,High-Performance Engineering,Officially listed family,G074-01,Not published,Not published,Glass-Fiber-Reinforced Polyphenylene Sulfide,H2C-relevant,PPS-GF,PPS,PPS,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M075,PVA,Support / Soluble,Official Bambu product,G075-01,"Family context in Q00310, Q00311, Q00312",Not published,Polyvinyl Alcohol,H2C-relevant,PVA,PVA,PVA,Unfilled / unspecified,Not applicable,Support/interface,Not applicable
M076,BVOH,Support / Soluble,Officially listed family,G076-01,"Family context in Q00310, Q00311, Q00312",Not published,Butenediol Vinyl Alcohol Copolymer,H2C-relevant,BVOH,BVOH,BVOH,Unfilled / unspecified,Not applicable,Support/interface,Not applicable
M077,Support for PLA,Support / Interface,Official Bambu product,G077-01,Support interface for Bambu Lab PLA filaments,Support interface only; not intended as a stand-alone model material. H2C route assignment still requires guide verification.,Support Material for PLA,H2C-relevant,Support for PLA,Support,Support,Commercial variant / undisclosed,Not applicable,Support/interface,Exact current Support for PLA (New Version) recorded; current Support for PLA/PETG remains a different product. Its sheet publishes no mechanical values.
M078,Support for PLA/PETG,Support / Interface,Official Bambu product,G078-01,Not published,Not published,Support Material for PLA and PETG,H2C-relevant,Support for PLA/PETG,Support,Support,Commercial variant / undisclosed,Not applicable,Support/interface,Not applicable
M079,Support for ABS,Support / Interface,Official Bambu product,G079-01,Not published,Not published,Support Material for ABS,H2C-relevant,Support for ABS,Support,Support,Commercial variant / undisclosed,Not applicable,Support/interface,Not applicable
M080,Support for PA/PET,Support / Interface,Official Bambu product,G080-01,Not published,Not published,Support Material for PA and PET,H2C-relevant,Support for PA/PET,Support,Support,Commercial variant / undisclosed,Not applicable,Support/interface,Not applicable
M081,HIPS,Styrenics,Theoretical,G081-01,Support interfaces and low-cost styrenic prototypes after checking the model/solvent pair.,Not published,High-Impact Polystyrene,H2C-relevant,HIPS,HIPS,HIPS,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M082,PP,Polyolefins,Theoretical,G082-02,Low-density parts and chemically exposed prototypes; verify exact exposure.,Not published,Polypropylene,H2C-relevant,PP,PP,PP,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M083,PP-CF,Polyolefins,Theoretical,G083-01,"Family context in Q00304, Q00305, Q00306",Not published,Carbon-Fiber-Reinforced Polypropylene,H2C-relevant,PP-CF,PP,PP,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M084,PP-GF,Polyolefins,Theoretical,G084-01,"Family context in Q00304, Q00305, Q00306",Not published,Glass-Fiber-Reinforced Polypropylene,H2C-relevant,PP-GF,PP,PP,Glass fibre,Not applicable,Structural / functional / appearance,Not applicable
M085,PE,Polyolefins,Conditional,G085-02,Not published,Not published,Polyethylene,H2C-relevant,PE,PE,PE,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Represented by Braskem FL300PE (G085-02) since 2026-09-16 (m36, owner ruling): an unfilled polyethylene whose sheet publishes printed part properties for specimens printed in the X-Y direction. Spectrum HDPE (G085-01) stays on record as a declared variant: its 1.1 g/cm³ and 3.5 GPa show an undisclosed dense filler, and its values are that compound's, not neat polyethylene's (audit 2026-09-15)."
M086,OBC,Polyolefins,Theoretical,G086-01,Not published,Not published,Olefin Block Copolymer,H2C-relevant,OBC,OBC,OBC,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M087,POM / Acetal,Acetals,Conditional,G087-02,Low-friction gears and snap-fits are proposed applications.,"purefil profile bed range extends above H2C limit. Conditional at boundary, not validated.",Polyoxymethylene (Acetal),H2C-relevant,POM / Acetal,POM,POM,Commercial variant / undisclosed,Not applicable,Structural / functional / appearance,"Representative grade changed 2026-09-13 from purefil POM (G087-01, print settings only) to Grupa Azoty Tarfuse POM (G087-02, printed XY data, polyacetal copolymer). purefil remains the printing evidence. Delrin 100P (G087-R1) is a resin reference only."
M088,PCTG,Copolyesters,Theoretical,G088-01,Not published,Not published,Glycol-Modified Polycyclohexylenedimethylene Terephthalate,H2C-relevant,PCTG,PCTG,PCTG,Unfilled / unspecified,Not applicable,Structural / functional / appearance,Not applicable
M089,CPE,Copolyesters,Theoretical,G089-01,Functional copolyester parts requiring chemical and mechanical durability.,"Generic copolyester umbrella, not one chemistry.",Copolyester,H2C-relevant,CPE,CPE,CPE,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Generic copolyester umbrella, not one chemistry."
M090,CPE-CF,Copolyesters,Theoretical,G090-01,Electrical/electronic components and wear-loaded parts are proposed; long-term load claims have no published creep curve.,Not published,Carbon-Fiber-Reinforced Copolyester,H2C-relevant,CPE-CF,CPE,CPE,Carbon fibre,Not applicable,Structural / functional / appearance,Not applicable
M091,CoPE,Copolyesters,Theoretical,G091-02,"Family context in Q00301, Q00302, Q00303",Same broad term as CPE; separate original scope row.,Copolyester,H2C-relevant,CoPE,CoPE,CoPE,Unfilled / unspecified,Not applicable,Structural / functional / appearance,"Until 2026-09-13 this row pointed at Fillamentum CPE HG100 (G091-01), the same grade as CPE. Polymaker Panchroma CoPE (G091-02) is now the exact CoPE identity and representative grade; G091-01 is kept as an audit trail."
