CoverageID,MaterialID,Domain,Status,Manufacturer count,Finding
C00125,M007,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00126,M007,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00127,M007,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00128,M007,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00129,M007,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00131,M007,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00134,M008,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00135,M008,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00143,M009,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00144,M009,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00145,M009,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00146,M009,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00147,M009,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00148,M009,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00150,M009,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00153,M010,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00154,M010,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00155,M010,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00156,M010,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00157,M010,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00158,M010,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00160,M010,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00163,M011,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00164,M011,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00165,M011,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00166,M011,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00167,M011,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00168,M011,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00170,M011,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00173,M012,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00174,M012,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00175,M012,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00176,M012,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00177,M012,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00178,M012,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00180,M012,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00183,M013,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00184,M013,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00185,M013,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00186,M013,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00187,M013,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00188,M013,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00190,M013,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00193,M014,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00194,M014,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00195,M014,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00196,M014,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00197,M014,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00198,M014,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00200,M014,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00203,M015,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00204,M015,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00205,M015,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00206,M015,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00207,M015,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00208,M015,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00210,M015,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00213,M016,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00214,M016,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00215,M016,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00216,M016,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00217,M016,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00218,M016,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00220,M016,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00223,M017,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00224,M017,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00225,M017,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00226,M017,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00227,M017,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00228,M017,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00230,M017,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00233,M018,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00234,M018,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00235,M018,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00236,M018,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00237,M018,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00238,M018,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00240,M018,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00243,M019,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00244,M019,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00245,M019,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00246,M019,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00247,M019,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00248,M019,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00253,M020,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00254,M020,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00255,M020,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00256,M020,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00257,M020,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00258,M020,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00263,M021,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00264,M021,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00265,M021,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00266,M021,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00267,M021,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00268,M021,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00270,M021,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00273,M022,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00274,M022,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00275,M022,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00276,M022,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00277,M022,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00278,M022,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00283,M023,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00284,M023,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00285,M023,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00286,M023,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00287,M023,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00288,M023,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00290,M023,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00293,M024,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00294,M024,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00295,M024,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00296,M024,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00297,M024,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00298,M024,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00300,M024,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00303,M025,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00304,M025,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00313,M026,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00314,M026,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00315,M026,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00316,M026,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00317,M026,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00318,M026,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00323,M027,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00324,M027,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00325,M027,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00326,M027,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00327,M027,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00328,M027,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00330,M027,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00333,M028,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00334,M028,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00335,M028,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00336,M028,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00337,M028,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00338,M028,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00340,M028,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00343,M029,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00344,M029,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00345,M029,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00346,M029,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00347,M029,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00353,M030,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00354,M030,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00355,M030,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00356,M030,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00357,M030,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00363,M031,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00364,M031,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00365,M031,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00366,M031,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00367,M031,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00368,M031,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00370,M031,Canadian price,Evidence recorded,Not applicable,"3 in-stock regular-price observation(s), before tax/shipping"
C00373,M032,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00374,M032,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00375,M032,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00376,M032,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00377,M032,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00378,M032,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00380,M032,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00383,M033,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00384,M033,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00385,M033,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00386,M033,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00387,M033,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00388,M033,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00393,M034,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00394,M034,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00403,M035,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00404,M035,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00405,M035,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00406,M035,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00407,M035,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00408,M035,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00410,M035,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00413,M036,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00414,M036,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00415,M036,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00416,M036,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00417,M036,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00418,M036,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00420,M036,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00423,M037,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00424,M037,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00425,M037,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00426,M037,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00427,M037,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00433,M038,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00434,M038,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00436,M038,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00437,M038,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00438,M038,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00443,M039,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00444,M039,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00445,M039,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00446,M039,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00448,M039,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00453,M040,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00454,M040,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00455,M040,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00456,M040,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00457,M040,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00458,M040,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00460,M040,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00463,M041,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00464,M041,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00465,M041,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00466,M041,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00467,M041,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00468,M041,Moisture / environmental,Evidence recorded,Not applicable,Some exposure or moisture evidence recorded; chemical conditions may remain unspecified.
C00470,M041,Canadian price,Evidence recorded,Not applicable,"2 in-stock regular-price observation(s), before tax/shipping"
C00473,M042,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00474,M042,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00475,M042,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
C00476,M042,Mechanical,Evidence recorded,Not applicable,"See specimen, direction, moisture, preparation and standard before comparing."
C00477,M042,Thermal,Evidence recorded,Not applicable,"HDT, Tg and Vicat are not continuous-service ratings."
C00478,M042,Moisture / environmental,Evidence recorded,Not applicable,"5 exposure, solubility or moisture record(s) from this material's own sources. Test conditions are rarely stated; not a chemical design limit."
C00480,M042,Canadian price,Evidence recorded,Not applicable,"1 in-stock regular-price observation(s), before tax/shipping"
C00483,M043,Identity,Evidence recorded,Not applicable,Original canonical entry retained once; aliases and disputed entries are visible.
C00484,M043,H2C status,Evidence recorded,Not applicable,Status explicitly recorded; generic inclusion is not automatic grade or route approval.
C00485,M043,Print setup,Evidence recorded,Not applicable,Published nozzle and bed profile available; check other setup fields individually.
