Verdict,Note,measurementid,material,manufacturer,grade,property,value,unit,median,z,group_grades,direction,specimen_form,sourceid,locator,SHA256,URL
wrong-condition,"Prints ""Elongation at break (tensile test) 5mm/min, Orientation XY 119,5 % DIN EN ISO 527-2"" on printed specimens (*5,*6); value right, but direction XY, printed and ISO 527-2 not recorded.",V008881,PEEK,Ensinger,TECAFIL PEEK EV natural - 1.75 mm,Elongation at break,119.5,%,30,86.2,4,Unstated,unstated,R-FILAMENT2PRINT-PEEK-EV-Nat,p. 1: Elongation at break (tensile test),4ec8da77f509ca7279b3c409300bb349dd2f517bbdbc5da72405bcaebd229dc5,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3797
wrong-condition,"Prints ""Elongation at Break (X-Y) ISO 527 % 15.5~17.5""; value right, but p. 2 ""Testing Specimen Printing Conditions"" (100% infill) makes it printed, not recorded.",V005197,ASA-CF,Flashforge,ASACF10,Elongation at break,15.5,%,1.8,57.8,3,XY,unstated,D-FLASH-ASA-CF-TDS-EN,p. 1: Elongation at Break(X-Y) ISO 527 %,174ca50eef981c2a3242b0fd5d1649866b0056506b183bdac79b1529fa455ad1,https://after-support.flashforge.jp/uploads/datasheet/tds/ASA_CF_TDS_EN.pdf
real,"Prints ""HDT (1,8 MPa, flatwise) 87 °C ISO 75""; credible for an ABS-CF at 1.8 MPa.",V009392,ABS-CF,3DJake,ABS CF,HDT,87,°C,94.9,-53.3,5,Not applicable,unstated,R-3DJAKE-TDS-3DJAKE-ABS-CF,"p. 1: HDT (1,8 MPa, flatwise)",5ef7248a5c3bd5b8adcfe379e50c4d0b56e29528f17d86b3fa61a0b72f427af3,https://3d.nice-cdn.com/upload/file/TDS_3DJAKE_ABS-CF.pdf
wrong-condition,"Prints ""Flexural Modulus (X-Y) GB/T 9341 2162.79±61.09 MPa""; value right, but p. 3: ""evaluated based on standard samples printed by eSUN"" (100% infill), not recorded.",V007229,PETG-ESD,eSUN,PETG-ESD,Flexural modulus,2.16279,GPa,1.658,47.3,3,XY,unstated,S-PEBA-PETG-ESD-TDS-EN,p. 2: Flexural Modulus (X-Y) GB/T 9341,b82fad6b1d2d38bce104e5c37c160af3126a2c3d9037d82eaf18021bf61902f2,https://3d.nice-cdn.com/upload/file/PETG-ESD-TDS-EN.pdf
implausible,"Prints ""Modulus of Elasticity (X-Y) ISO 527 Mpa 800~950"": PC and ABS each exceed 2 GPa, so a solid PC/ABS part cannot be under 1 GPa. Printed, not annealed (p. 2) also unrecorded.",V005228,PC-ABS,Flashforge,PC/ABS,Tensile modulus,0.8,GPa,1.835,-46.5,3,XY,unstated,D-FLASH-PC-ABS-TDS-EN,p. 1: Modulus of Elasticity (X-Y) ISO 527 Mpa,2e2d8d5c5d1b4c4368256ad9d0fcbe8964813f10c618157cbc1eddab13ec0959,https://after-support.flashforge.jp/uploads/datasheet/tds/PC_ABS_TDS_EN.pdf
wrong-condition,"Prints ""Tensile Strength GB/T 1040 63.16 MPa""; p. 2 says values come from ""the injection molding spline test"", not recorded. Also a metallic-lustre PLA (1.225), not metal-filled.",V007388,PLA Metal,eSUN,ePLA Metal,Tensile strength (endpoint unspecified),63.16,MPa,19,42.6,3,Unstated,unstated,S-PEBA-ePLA-Metal-TDS,p. 1: Tensile Strength GB/T 1040,e5987bde5b93939b96d63e27e9aa89b0fbc947ef4adcc5046d5adec14f36da6e,https://3d.nice-cdn.com/upload/file/ePLA-Metal-TDS.pdf
wrong-value,"Prints ""Impact Strength Charpy Notch, ISO 179 40 20 kJ/m"" under ""210˚C; 100%"" and ""230°C; 70%"" (foamed): 40 and 20 were joined into 4020. Already corrected to 40 by m126.",V005776,TPU,colorFabb,varioShore TPU,Charpy strength,4020,kJ/m²,78,42.4,3,Not applicable,printed,R-COLORFABB-TDS-varioShore-TPU-95A,"p. 1: Impact Strength Charpy Notch, ISO 179",48d452d467ccb220bf754fa9e21e74b2ab72f94e896eece5ace228820758ffe8,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/TPU/colorFabb%20varioShore%20TPU%2095A/TDS__varioShore%20TPU%2095A.pdf
real,"p. 2 ""TYPICAL MATERIAL PROPERTIES – Injection molded"": ""Tensile modulus MPa 3400 ISO 527""; credible for moulded PLA. The moulded group's median (0.43 GPa) is what makes it look far out.",V006532,PLA,colorFabb,PLA Chameleon,Tensile modulus,3.4,GPa,0.4329,41.6,4,Unstated,moulded,R-COLORFABB-TDS-E-colorFabb-PLA-Chameleon,p. 2: Tensile modulus MPa,de530a3995ad40e2cd7be04f5ce1d03fae1e70e9f8915f335ed6175bde0c2dd9,https://3d.nice-cdn.com/upload/file/TDS_E_colorFabb_PLA_Chameleon.pdf
real,"Prints ""Bending strength ISO 178, GB/T 9341 100 ± 3 (MPa)"" on 3D printed specimens, 100% infill; credible for a PC.",V006856,PC,Raise3D,colors.,Flexural strength,100,MPa,94.1,39.8,3,Unstated,printed,D-RAISE3D-Raise3d-Premium-PC-Transparent-TDS-V6,"p. 1: Bending strength ISO 178, GB/T 9341",4f04287709294336c921ae28a4fa68a642af18a09df11f208b1f437caada961f,https://s1.raise3d.com/2024/07/Raise3d_Premium_PC_Transparent__TDS_V6.pdf
implausible,"Prints ""Impact Strength Charpy Notch, ISO 179 27.9 kJ/m"" (3D printed) beside modulus 2630 MPa and 5.7% elongation: 10× a notched PLA, in the unnotched range; not credible as a notched value.",V005980,PLA,colorFabb,PLA High Speed PRO,Charpy strength,27.9,kJ/m²,2.87,36.7,10,Not applicable,printed,R-COLORFABB-TDS-colorFabb-PLA-High-Speed-PRO,"p. 1: Impact Strength Charpy Notch, ISO 179",ca2eafcc1dec0b53a7641c415d58bf4be492aaa417153458cf6310e5d231c9ca,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA%20High%20Speed%20PRO/TDS_colorFabb%20PLA%20High%20Speed%20PRO.pdf
wrong-condition,"Prints ""IZOD Impact Strength 63 kJ/m² GB/T 1843"" (notch not stated) from ""the injection molding spline test"" (p. 2), not recorded. Also a declared toughened PLA: grade Variant unset.",V007946,PLA,eSUN,ePLA ST,Izod impact strength,63,kJ/m²,4.9,35.6,28,Not applicable,unstated,S-PEBA-eSUN-ePLA-ST-Filament-TDS-V4-0,p. 1: IZOD Impact Strength,86425190ca99099bd5c2e4d1a5d12153212dc776bdca444438bc90014bb109a3,https://3d.nice-cdn.com/upload/file/eSUN_ePLA-ST-Filament_TDS_V4.0.pdf
real,"Prints ""Elongation at break Z ISO 527, GB/T 1040 7.6%"" (XY 12.3%); the maker's own lab figure, consistent with its Z strength 34 MPa and modulus 2200 MPa.",V009479,PLA-CF,CreatBot,PLA-CF,Elongation at break,7.6,%,0.955,34.5,4,Z,unstated,R-FILAMENT2PRINT-CreatBot-PLA,"p. 1: Elongation at break Z ISO 527, GB/T 1040",01e54a25e1320675541a316e6dc5cc73f6cb2b79f16915d7c7f0175ef3950974,https://filament2print.com/en/index.php?controller=attachment&id_attachment=4084
real,"Prints ""Charpy unnotched impact strength kJ/m2 ISO 179-1/1 eU 23,25"" (3D printed); credible unnotched PLA. It is compared with notched values (notched on the sheet: 3,97).",V006527,PLA,colorFabb,PLA Chameleon,Charpy strength,23.25,kJ/m²,2.87,29.9,10,Not applicable,printed,R-COLORFABB-TDS-E-colorFabb-PLA-Chameleon,p. 1: Charpy unnotched impact strength kJ/m2,de530a3995ad40e2cd7be04f5ce1d03fae1e70e9f8915f335ed6175bde0c2dd9,https://3d.nice-cdn.com/upload/file/TDS_E_colorFabb_PLA_Chameleon.pdf
wrong-condition,"Prints ""Elongation at Break GB/T 1040 360 %""; credible for PVA, but p. 2 says the values come from ""the injection molding spline test"", which is not recorded.",V010005,PVA,eSUN,PVA,Elongation at break,360,%,9.9,29.5,3,Unstated,unstated,S-PEBA-eSUN-PVA-Filament-TDS-V4-0,p. 1: Elongation at Break GB/T 1040,03aaa3c13628c73f5d7982defeed80dadbeb6018dbaf9cb536577f5ebf9a02c1,https://www.esun3d.com/media/esun/catalog/certification/product/PVA/eSUN_PVA_Filament_TDS_V4.0.pdf
real,"Prints ""Specific gravity ISO 1183-3 g/cm³ 1,51""; credible for a carbon-fibre PPS compound.",V007156,PPS-CF,LEHVOSS,LUVOCOM 3F PPS CF 9938 BK,Density,1510,kg/m³,1295,29,4,Not applicable,unstated,R-3D4MAKERS-TDS-pps-cf-9938-bk-filament-en-iso,p. 1: Specific gravity ISO 1183-3 g/cm³,a17d96e9e9e5b77453f191dbd59a4ad0e964a472a9c28a27be627edd91dfb31a,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_pps-cf-9938-bk-filament_en_iso.pdf?v=1622387081
wrong-condition,"Prints ""Equilibrium water absorption (%)= 0.542%"" under the curve ""70% RH, 23°C"": an equilibrium value at 70% RH, not a 24 h immersion one; no condition recorded.",V004012,PETG,Polymaker,Polymaker PolyMax PETG,Water absorption,0.542,%,0.13,27.8,11,Not applicable,unstated,S-POLYCN-TDS-Polymaker-PolyMax-PETG-V5-5-2026-01-06-EN,p. 1: Equilibrium water absorption (%)=,fd32b5e05f8c7f7975f86ea0fffb3ffb6e4d3631691a7847ac78f9097aa0bbbd,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyMax-PETG_V5.5_2026-01-06_EN.pdf
wrong-condition,"Prints ""Equilibrium water absorption (%)= 0.54%"" (p. 2, under the absorption curve headed ""70%RH - 23°C"" in this layout): equilibrium, not 24 h immersion; not recorded.",V002152,PETG,Polymaker,PolyLite PETG,Water absorption,0.54,%,0.13,27.7,11,Not applicable,unstated,S-POLYCN-PolyLite-PETG-TDS-V5-3,p. 2: Equilibrium water absorption (%),3e325b645b42d7547517ee7940f5fd476b48815c08342676a38777206350092f,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_PETG_TDS_V5.3.pdf
wrong-condition,"Prints ""Equilibrium water absorption (%)= 0.54%"" under the absorption curve ""70% RH, 23°C""; value right, equilibrium at 70% RH rather than 24 h immersion, and Standard / load says Not published.",V003403,PETG,Polymaker,Polymaker PolyLite PETG,Water absorption,0.54,%,0.13,27.7,11,Not applicable,unstated,S-POLYCN-TDS-Polymaker-PolyLite-PETG-V6-0-2026-06-09-EN,p. 1: Equilibrium water absorption (%)=,102f99c803b722848f1846c75155e969609397d8374cbf9beedeb7750c8c000f,https://polymaker.com/wp-content/uploads/TDS_Polymaker_PolyLite-PETG_V6.0_2026-06-09_EN.pdf
wrong-condition,"Prints ""Equilibrium water absorption (%)= 0.54%"" under ""MOISTURE ABSORPTION CURVE, 70%RH - 23°C"" (page image); value right, equilibrium at 70% RH rather than 24 h immersion, condition not recorded.",V003982,PETG,Polymaker,PolyLite PETG,Water absorption,0.54,%,0.13,27.7,11,Not applicable,unstated,S-POLYCN-PolyLite-PETG-TDS-V5-2,p. 2: Equilibrium water absorption (%)=,f0566292697decaea2d9ebe85fc2c498375bc239c4b18f3778f2c1fb2445b563,https://3d.nice-cdn.com/upload/file/PolyLite_PETG_TDS_V5.2.pdf
implausible,"Prints ""Glass transition temperature (° C) DSC, 10 ° C/min 160 ℃"" beside Vicat 57 and HDT 57: 160 °C is PLA's melting range, not a glass transition. Already flagged implausible by m126.",V004934,PLA,Eryone,Hyper-Speed PLA,Glass transition temperature,160,°C,59.5,27.1,51,Not applicable,unstated,R-ERYONE-eryone-hs-pla-tds,"p. 1: Glass transition temperature (° C) DSC, 10 ° C/min ℃",6fb8d4f48e1ee7992d83c1939dc0d1b6c18a6846ea19ece48bbae87d54829c48,https://file.globalso.com/file_manage/3828/20250903/eryone-hs-pla-tds.pdf
wrong-property,"Prints ""Tensile strength 78 Mpa ISO 527 Stress @ Yield 23° C"": the sheet names the yield endpoint, so this is a tensile yield strength; 78 MPa with modulus 3860 MPa is credible for dry PVA.",V007509,PVA,FormFutura,AquaSolve - PVA,Tensile strength (endpoint unspecified),78,MPa,23.4,26.3,3,Unstated,unstated,S-PET-tds-aquasolve-pva,p. 1: Tensile strength,1deea024d93da086a167e28ac06e666be9a077b349f91789576d70676a3d10a4,https://3d.nice-cdn.com/upload/file/tds-aquasolve-pva.pdf
wrong-value,"Prints ""Streckdehnung ISO 527 % 4,3"" then ""Kühlung 20-50%"" from the print-settings column: yield strain is 4,3 %; 20-50 % is the cooling fan setting.",V006270,PCTG,Extrudr,PCTG,Elongation at yield,20,%,4.4,26.3,5,Unstated,unstated,R-EXTRUDR-pctg-TDS-de,"p. 1: Streckdehnung ISO 527 % 4,3 Kühlung",2aa7e9b2bef4b39703b7751027cb35165ab603d4f77dc48fc6fb3599f80a7b40,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-de/pctg-TDS-de.pdf
real,"Prints ""Charpy impact strength, unnotched 85 kJ/m2 ISO 179-1eU"" (notched: 3.5); credible unnotched PETG. It is far out only because it is compared with notched values.",V002956,PETG,Spectrum,PET-G MATT,Charpy strength,85,kJ/m²,3.5,24.4,6,Not applicable,unstated,S-SPECTRUM-en-tds-petg-matt,"p. 1: Charpy impact strength, unnotched",948680b68ccfc2b13df7784a6f608888a7321df11a5ac32275fa821cb7020892,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_petg_matt.pdf
real,"Prints ""Tensile Elongation 23 ºC/50% rh ISO 527 5%"" beside tensile 97 MPa and modulus 3,8 GPa; credible for a PEEK filament (the page text is 3D4Makers' PEEK sheet under a LUVOCOM title).",V006655,PEEK,LEHVOSS,LUVOCOM 3F PEEK 9581,Elongation at break,5,%,30,-24.1,4,Unstated,unstated,R-3D4MAKERS-TDS-LUVOCOM-3F-PEEK-9581-Filament,p. 1: Tensile Elongation 23 °C/50% rh ISO 527,16e28f791cc27c587b798b56d9c819ad6555db396082354a99de6f78129f9beb,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PEEK_9581_Filament.pdf?v=1638285663
wrong-condition,"Prints ""Tensile Strength (X-Y) ISO 527 Mpa 76~82""; value right, but p. 2 ""Testing Specimen Printing Conditions"" (100% infill) makes it printed, not recorded.",V005252,PET-GF,Flashforge,PET-GF,Tensile strength (endpoint unspecified),76,MPa,71,24.1,3,XY,unstated,D-FLASH-PET-GF-TDS-EN,p. 1: Tensile Strength (X-Y) ISO 527 Mpa,42ce708596453e8e4d792a91c549d3234a69be4da97a488384f167199c05d0df,https://after-support.flashforge.jp/uploads/datasheet/tds/PET_GF_TDS_EN.pdf
wrong-condition,"Prints ""Tensile Strength (X-Y) ISO 527 Mpa 43.5~45.5""; value right, but p. 2 says specimens were printed (100% infill) and ""has not been annealed""; not recorded.",V005226,PC-ABS,Flashforge,PC/ABS,Tensile strength (endpoint unspecified),43.5,MPa,40,23.6,3,XY,unstated,D-FLASH-PC-ABS-TDS-EN,p. 1: Tensile Strength (X-Y) ISO 527 Mpa,2e2d8d5c5d1b4c4368256ad9d0fcbe8964813f10c618157cbc1eddab13ec0959,https://after-support.flashforge.jp/uploads/datasheet/tds/PC_ABS_TDS_EN.pdf
wrong-condition,"Prints ""Izod Impact Strength of Unnotched Specimen (X-Y) ISO 180 38±8 KJ/m2""; credible unnotched, but footnote [1] says the test splines were printed (100% fill); not recorded.",V004399,PETG,SUNLU,PETG 2.0,Izod impact strength,38,kJ/m²,4.05,22.9,9,XY,unstated,R-SUNLU-30522971789539747056,p. 1: 悬臂梁无缺口冲击强度(X-Y) Izod Impact ISO 180 23℃ KJ/m2 Strength of Unnotched Specimen,078860f565ca6586b313bd9ef777b516f298a5c17d29d57a1b9a748733bcf0a7,https://media.sunlu.com/prod/20260916/30522971789539747056.pdf?filename=TDS
real,"Prints ""Water absorption 0.15 % ASTM D570""; a textbook 24 h value for polycarbonate.",V007721,PC,Nanovia,PC V0,Water absorption,0.15,%,0.25,-22.5,6,Not applicable,unstated,R-NANOVIA-PC,p. 1: Water absorption,ad2e728da7ec83e225ec3cad2ea913f6e93cd656bc112ab3e303bb95368bf394,https://nanovia.tech/en/ref/nanovia-pc-v0/
real,"Prints ""Water Absorption ASTM D570 % 23 ℃,24hr 0.15""; a textbook 24 h value for polycarbonate.",V010301,PC,Yousu,PC,Water absorption,0.15,%,0.25,-22.5,6,Not applicable,unstated,R-YOUSU-YOUSUPCTDS-535a,"p. 1: Water Absorption ASTM D570 % 23 ℃,24hr",a94573b23e0f795f832dcebaac1c63afec9df187c6b07a838a586eece7cb476b,https://ysfilament.com/u_file/2206/14/file/YOUSUPCTDS-535a.pdf
real,"Prints ""VICAT - Softening point 103 °C"" (method and load not stated) for a soft PP (Shore 50D, flexural modulus 400 MPa); credible, and below Vicat A values as a 50 N reading would be.",V002774,PP,Spectrum,PP,Vicat softening temperature,103,°C,134,-20.9,4,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-pp-42aa71,p. 1: VICAT - Softening point,42aa71b93b904c2ca6fb90a5133b08e4f8f2e95ed75defb6d383f2c9875afdca,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_pp.pdf
real,"Prints ""MFR (210°C, 2.16kg) 70 g/10min ISO 1133-A""; the sheet declares a high-flow PLA for printing at up to 600 mm/s, so a high MFR is credible.",V002700,PLA,Spectrum,PLA High Speed,Melt mass-flow rate,70,g/10 min,6.9,20.9,75,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-high-speed,"p. 1: MFR (210°C, 2.16kg)",2a0ad4bb85ee545846cf5eded739c9fd9e14a7236adbf6aae159bc8cf88c4d87,https://spectrumfilaments.com/wp-content/uploads/2024/05/en_tds_spectrum_high_speed.pdf
real,"Polish edition prints ""MFR (210°C, 2.16kg) 70 g/10min ISO 1133-A""; the sheet declares a high-flow PLA for printing at up to 600 mm/s.",V006275,PLA,Spectrum,PLA High Speed,Melt mass-flow rate,70,g/10 min,6.9,20.9,75,Not applicable,unstated,S-SPECTRUM-pl-tds-spectrum-high-speed,"p. 1: MFR (210°C, 2.16kg)",2ef955c17e04201f8526079145ffe6b877e8bb9ca28bd76a0e1ac35e72865d00,https://spectrumfilaments.com/wp-content/uploads/2024/05/pl_tds_spectrum_high_speed.pdf
real,"Prints ""Izod Impact Strength, Notched @ 23°C 860 J/m D 256"" (unnotched NB, elongation 210%, HDT 100°C); credible for the tough ""co-polyester"" the sheet describes, which is not a plain PETG.",V002852,PETG,Spectrum,PET-G HT100,Izod impact strength,860,J/m,101,20.5,9,Not applicable,unstated,S-SPECTRUM-en-tds-spectrum-petg-ht100,"p. 1: Izod Impact Strength, Notched @ 23°C",596df17233fa8273c74c0bd8da1b7e154bdf8fbb1760b6b9f4379976bf600df1,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_ht100.pdf
wrong-condition,"Prints ""Heat deflection temperature 115 °C"" with ""0.45 MPa (ISO 75-2)"" on the next line; value right, but the row's Test load and standard say Not published.",V006190,PLA,Fabru,GreenTEC Pro,HDT,115,°C,55,20.2,94,Not applicable,unstated,R-FABRU-4701-material-data-sheet-GreenTEC-Pro-purefil,p. 1: Heat deflection temperature,0fae55072b780857c7ac1ae1cb5270c6d724c8aa89916f988b4c83170630fdb2,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/4701%2Fmaterial+data+sheet+GreenTEC+Pro+purefil.pdf
real,"Prints ""Glass Transition (Tg) ISO 11357-2 10 ℃/min ℃ 65.5"" (and Tm 128); low for PETG but SUNLU's PETG sheets print it consistently, and a modified copolyester can sit there.",V004743,PETG,SUNLU,High Speed Matte PETG,Glass transition temperature,65.5,°C,80,-19.6,4,Not applicable,printed,R-SUNLU-ccf53a55-5b58-49fa-b1d9-08f94c0a4b28,p. 1: Glass Transition (Tg) ISO 11357-2 10 ℃/min ℃,b549a33c5bb86816aa44f46bb1c5b0851fc41358cd67ed98d92c05d3049ab035,https://media.sunlu.com/prod/20260330/ccf53a55-5b58-49fa-b1d9-08f94c0a4b28.pdf?filename=TDS
real,"Prints ""Vicat softening temperature A 160 °C (ISO 306)"" and ""heat resistance ... 160 ° C (VST)""; credible for this filled high-heat bioplastic (density 1.39, modulus 4400 MPa).",V006191,PLA,Fabru,GreenTEC Pro,Vicat softening temperature,160,°C,60,19.3,38,Not applicable,unstated,R-FABRU-4701-material-data-sheet-GreenTEC-Pro-purefil,p. 1: Vicat softening temperature A,0fae55072b780857c7ac1ae1cb5270c6d724c8aa89916f988b4c83170630fdb2,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/4701%2Fmaterial+data+sheet+GreenTEC+Pro+purefil.pdf
real,"Prints ""HDT B 110 °C ISO 75""; the sheet declares a crystallising high-heat PLA (Tc 105 °C, ""Thermal stability up to 150 °C without annealing""), so a high HDT-B is credible.",V007602,PLA,FormFutura,Volcano PLA 150C,HDT,110,°C,55,18.5,94,Not applicable,unstated,S-PET-TDS-Volcano-PLA-150C,p. 1: HDT B,58c00d7eedec0418933e45a79f49e2e58b245a26b29c5033ef5560e2e6ea0211,https://3d.nice-cdn.com/upload/file/TDS_-_Volcano_PLA_150C.pdf
real,"Prints ""Unnotched impact strength ISO 180 kj/m² 67 ± 7"" (notched 1,7 ± 0,4); credible unnotched value, compared here with notched ones.",V008644,PETG-CF,Extrudr,XPETG CF,Izod impact strength,67,kJ/m²,4,18.5,5,Not applicable,unstated,R-EXTRUDR-xpetg-cf-TDS-en,p. 1: Unnotched impact strength ISO 180 kj/m²,e1bc3a9fba2d98e0c2b01b45a949aa425a87e0ee141653345553d04766ed22aa,https://3d.nice-cdn.com/upload/file/xpetg-cf-TDS-en.pdf
