Batch,MeasurementID,SourceID,Property,Verdict,Note,By,Resolution
b04-polymaker,V003784,S-POLYCN-TDS-Polymaker-PETG-V2-0-2025-11-17,Flexural modulus,disagrees: standard,"Value 1958.74 ± 126.39 MPa and Direction Z is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 178 for it: ""Bending modulus (X-Y) 2277.34 ±198.09 MPa / ISO 178, GB/T 9341 / Bending modulus (Z) 1958.74 ± 126.39 MPa"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b04-polymaker,V003592,S-POLYCN-Polylite-PLA-Pro-EN-V5-1-3-6,Tensile modulus,disagrees: standard,"Value 2681 ± 215 MPa and Direction X-Y is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 527 for it: ""Young's modulus (X-Y) 2681 ± 215 MPa / ISO 527, GB/T 1040 / Young's modulus (Z) 2551 ± 335 MPa"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 527; GB/T 1040
b04-polymaker,V003511,S-POLYCN-TDS-Polymaker-ABS-Pro-V1-1-2026-06-01-EN,Vicat softening temperature,disagrees: standard,"Value 116.1 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the standard for this row: ""Vicat softening temp. 116.1°C"" with ""ISO 306, GB/T 1633"" in the TESTING METHOD column beside it (extraction puts them on two lines). ISO 306 is in the repo vocabulary and 45 Polymaker rows carry ""ISO 306; GB/T 1633"" from the identical layout.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b04-polymaker,V003846,S-POLYCN-TDS-Polymaker-PolyLite-PLA-Pro-V5-6-2026-01-05-EN,Flexural strength,disagrees: standard,"Value 77.9 ± 0.4 MPa and Direction X-Y is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 527 (which is what this sheet prints against its bending rows) for it: ""Bending strength (X-Y) 77.9 ± 0.4 MPa / ISO 527, GB/T 1040 / Bending strength (Z) N/A"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 527; GB/T 1040
b04-polymaker,V003633,S-POLYCN-TDS-Polymaker-PC-ABS-V5-5-2025-12-10-EN,Charpy strength,disagrees: condition,"Value 1.5 ± 0.2 kJ/m2, Direction Z and -30 °C are right, but Notch reads ""Not published"" and the sheet publishes it in the designation: ""Low temperature impact strength (Z) ISO 179-1, 1eA:2010,-30°C 1.5 + 0.2 kJ/m2"" - 1eA is the notched Charpy geometry. The row above it on the same sheet is labelled ""Notched charpy impact strength (X-Y) ... 25.8 + 1.3 kJ/m2"", so the sheet is consistent about it; the record is not.",claude-second-read,corrected by m132-conditions-the-row-states
b04-polymaker,V003967,S-POLYCN-PolyLite-PLA-CF-TDS-US-5-1,Melting temperature,disagrees: standard,"Value 162.4 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Melting temperature DSC, 10°C/min 162.4 °C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003491,S-POLYCN-TDS-Polymaker-ABS-Max-V1-1-2026-06-01-EN,Glass transition temperature,disagrees: standard,"Value 126.3 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Glass transition temp. DSC, 10°C/min 126.3°C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003527,S-POLYCN-Polymaker-HT-PLA-TDS-EN-V1-1,Crystallization temperature,disagrees: standard,"Value 77.21 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its TESTING METHOD column on that row: ""Crystallization temperature DSC, 10°C/min 77.21°C"". DSC is a value of the repo vocabulary (""Differential scanning calorimetry, where the source names the method but no standard"") and 43 Polymaker rows in the table carry it, so the same sheets were read both ways.",claude-second-read,corrected: the row now records DSC
b04-polymaker,V003426,S-POLYCN-TDS-Polymaker-Polylite-PLA-CF-V6-0-2026-06-09-EN,Flexural modulus,disagrees: standard,"Value 3380.5 ± 52.1 MPa and Direction X-Y is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 178 for it: ""Bending modulus (X-Y) 3380.5±52.1 MPa / ISO 178, GB/T 9341 / Bending modulus (Z) N/A"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 178; GB/T 9341
b04-polymaker,V003421,S-POLYCN-TDS-Polymaker-Polylite-PLA-CF-V6-0-2026-06-09-EN,Tensile modulus,disagrees: standard,"Value 2213.1 ± 42.9 MPa and Direction Z is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 527 for it: ""Young's modulus (X-Y) 3280.7±79.6 MPa / ISO 527, GB/T 1040 / Young's modulus (Z) 2213.1±42.9 MPa"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 527; GB/T 1040
b04-polymaker,V003825,S-POLYCN-TDS-Polymaker-HT-PLA-V1-3-2025-12-10-EN,Flexural strength,disagrees: standard,"Value 29.39 ± 1.18 MPa and Direction Z is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 178 for it: ""Bending modulus (X-Y) 2893.46 + 53.15 MPa / ISO 178, GB/T 9341 / Bending modulus (Z) 2411.22 + 139.22 MPa / Bending strength (X-Y) 74.04 + 0.66 MPa / Bending strength (Z) 29.39 + 1.18 MPa"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b04-polymaker,V003497,S-POLYCN-TDS-Polymaker-ABS-Max-V1-1-2026-06-01-EN,Elongation at break,disagrees: standard,"Value 6.72 ± 0.34 % and Direction X-Y is right, but Standards and Standard / load read ""Not published"". Polymaker prints the TESTING METHOD column as one merged cell spanning a pair or block of rows, and this sheet names ISO 527 for it: ""Elongation at break (X-Y) 6.72±0.34 % / ISO 527, GB/T 1040 / Elongation at break (Z) 1.81±0.15 %"". Extraction puts the designation on the single line whose position it matched, which is why one row of a pair carries it and the other does not. 491 of the 1092 Polymaker rows in the table read ""Not published"" while 288 carry ISO 527/178/179 from the very same merged cells.",claude-second-read,corrected: the row now records ISO 527; GB/T 1040
b06-ppe,V004089,X-ECOMAX-THERMAX-PPE-PS-TDS-v1,HDT,disagrees: condition,"Value 112 and standard ISO 75 are right, but the row records Test temperature ""1.8°C"". The sheet prints ""Deflection Temperature at 1.8 MPa | ISO 75 | °C | 112"": 1.8 MPa is the flexural load, and no test temperature is published. Test load MPa=1.8 already carries it.",claude-second-read,corrected by m104
b07-extrudr,V004139,R-EXTRUDR-flex-semisoft-TDS-en,Hardness,disagrees: number,"The sheet prints a range, the row records its low end as the value. ""Shore hardness ISO 868 Shore 85A - 88A"" (FLEX SEMISOFT, section 3 PROPERTIES, the line the Locator names). Raw value is ""85"", Raw upper bound ""Not applicable"", Normalized ""85 Shore A"" - the 88A end is gone. The repo carries Shore ranges elsewhere (V005843 ""80-85 Shore A"" -> 80/85, V007287 ""92-98 Shore A"" -> 92/98).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b08-sunlu,V004390,R-SUNLU-30522971789539747056,Tensile modulus,disagrees: condition,"Value, unit and standard are right, but the specimen. The row records Specimen type ""Not published (do not assume printed)"" while itself recording Direction ZX, and the sheet prints the build orientation in the row label: ""拉伸模量(Z-X) Tensile Modulus ISO 527/2 50 mm/min MPa 300±50"". A Z-X or X-Y orientation is a print orientation, so the sheet does establish a printed specimen. SUNLU lays every sheet out identically and the same reader recorded ""Printed specimen"" for the English-language ones in this batch (V004798 PVB, V004559 ABS, V004682 PP, V004462 ABS-GF); only the Chinese-bilingual sheets were read as not printed. One of the two readings of the same evidence is wrong.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b08-sunlu,V004425,R-SUNLU-25182761789529093884,HDT,disagrees: condition,"Value, unit and standard are right, but the specimen. The row records Specimen type ""Not published (do not assume printed)"" while itself recording Direction XY, and the sheet prints the build orientation in the row label: ""热变形温度(X-Y) Heat Distortion (HDT) ISO 75 0.45 MPa ℃ 65±10"". A Z-X or X-Y orientation is a print orientation, so the sheet does establish a printed specimen. SUNLU lays every sheet out identically and the same reader recorded ""Printed specimen"" for the English-language ones in this batch (V004798 PVB, V004559 ABS, V004682 PP, V004462 ABS-GF); only the Chinese-bilingual sheets were read as not printed. One of the two readings of the same evidence is wrong.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b08-sunlu,V004410,R-SUNLU-f27808f0-3a19-49e3-bd79-6e846d6f4c15,Flexural modulus,disagrees: condition,"Value, unit and standard are right, but the specimen. The row records Specimen type ""Not published (do not assume printed)"" while itself recording Direction XY, and the sheet prints the build orientation in the row label: ""弯曲模量(X-Y) Flexural Modulus ISO 178 2 mm/min MPa 2100±300"". A Z-X or X-Y orientation is a print orientation, so the sheet does establish a printed specimen. SUNLU lays every sheet out identically and the same reader recorded ""Printed specimen"" for the English-language ones in this batch (V004798 PVB, V004559 ABS, V004682 PP, V004462 ABS-GF); only the Chinese-bilingual sheets were read as not printed. One of the two readings of the same evidence is wrong.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b08-sunlu,V004408,R-SUNLU-f27808f0-3a19-49e3-bd79-6e846d6f4c15,Elongation at break,disagrees: condition,"Value, unit and standard are right, but the specimen. The row records Specimen type ""Not published (do not assume printed)"" while itself recording Direction XY, and the sheet prints the build orientation in the row label: ""断裂伸长率(X-Y) Elongation at break ISO 527/2 50 mm/min % 11±5"". A Z-X or X-Y orientation is a print orientation, so the sheet does establish a printed specimen. SUNLU lays every sheet out identically and the same reader recorded ""Printed specimen"" for the English-language ones in this batch (V004798 PVB, V004559 ABS, V004682 PP, V004462 ABS-GF); only the Chinese-bilingual sheets were read as not printed. One of the two readings of the same evidence is wrong.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b09,V005082,R-ERYONE-eryone-pla-cf-tds,Impact strength,disagrees: condition,"Value 4.75 kJ/m2 is right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Charpy Impact strenght 2.75J GB/T 1843 4.75"" names the standard (and the hammer) and nothing about a notch. 4.75 kJ/m2 is a notched-range figure for a carbon-filled PLA. The same assertion is made on every Eryone impact row in this read (V005094, V005122) and on V009310 in b20; the sheets never print it.",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b09,V005436,D-FLASH-PLA-Crystal-TDS-EN,Izod impact strength,disagrees: condition,"Value 3.3-4.6 KJ/m2 is right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Izod Impact Strength (X-Y) ISO 180 KJ/m2 3.3~4.6"" names the standard (and the hammer) and nothing about a notch. ISO 180 covers both /1A notched and /1U unnotched and this sheet names neither; 3.3-4.6 kJ/m2 is a notched-range figure for a PLA.",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b09,V005804,R-COLORFABB-TDS-E-ColorFabb-Economy-PLA,Melt mass-flow rate,disagrees: standard,"Value 6 g/10min and 210 °C are right, but Standards reads ""Not published"" although the sheet names one: ""Melt Flow Index MFI, (210˚C/2.16 kg), ISO 1133-A 6 g/10min"" - the designation sits on the continuation line under the condition. ISO 1133 is in the repo vocabulary. The same drop is on V009466 (colorFabb PLA/PHA) in this read.",claude-second-read,corrected: the row now records ISO 1133
b09,V005858,R-COLORFABB-TDS-varioShore-PEBA40D,Melting temperature,disagrees: condition,"Value 148 °C is right, but Specimen type reads ""Not published (do not assume printed)"" and the sheet says where the figure comes from. The row is in the table marked ""Thermal Properties*"", whose footnote reads ""*These results are obtained from the information provided by the supplier of the raw material"". The same colorFabb footnote was read as ""Raw material value"" elsewhere in this second read (V009465, V009464, V009463 on the PLA/PHA sheet), so the same sentence is being read two ways.",claude-second-read,corrected by m118-conditions-the-sheets-state
b09,V005537,R-FIBERLOGY-FIBERLOGY-IMPACT-PLA-TDS,Flexural modulus,disagrees: condition,"Value 2410 MPa and ASTM D790 are right, but every condition the sheet states for this table is missing. The table is headed ""Mechanical Properties*"" and the footnote reads ""* - data for 3D printed parts, XY axis, 100% infill, annealed at 110°C / 15min"". The row holds Specimen type ""Not published (do not assume printed)"", Direction ""Unstated"", Post-processing ""Not published"" / not-stated and Anneal °C / Anneal h ""Not applicable"". An annealed PLA and an as-printed one are different materials for the purposes this table is read for.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b09,V005992,R-COLORFABB-TDS-E-ColorFabb-Vibers-PLA,Charpy strength,disagrees: condition,"Value 3.05 kJ/m2 and ISO 179 are right, but Notch reads ""Not published"" and the sheet publishes it: ""Impact Strength Charpy Notch, ISO 179 3.05 kJ/m2"" - Charpy Notch is the notched geometry. colorFabb prints this same wording across its range and the read handles it three different ways: ""Not published"" here, ""Unnotched"" at V005897 and V009462, and nothing consistent.",claude-second-read,"corrected by m118-conditions-the-sheets-state, m119-a-notch-is-what-the-row-says"
b09,V005094,R-ERYONE-eryone-glow-in-the-dark-pla-tds,Impact strength,disagrees: condition,"Value 3.5 kJ/m2 is right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Charpy Impact strenght 2.75J GB/T 1843 3.5"" names the standard (and the hammer) and nothing about a notch. 3.5 kJ/m2 is a notched-range figure for a PLA.",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b09,V005979,R-COLORFABB-TDS-colorFabb-PLA-High-Speed-PRO,Flexural strength,disagrees: condition,"Value 71.0 MPa is right, but Direction reads ""Unstated"" and the sheet states it for this table on p. 2: ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.2 mm layer height, 100% infill, 0,4 mm nozzle, 220˚C nozzle temperature and 60˚C bed temperature"". The row is from the p. 1 table headed ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" / ""Mechanical Properties - 3D Printed"", and Specimen type also reads ""Not published (do not assume printed)"" and Specimen / print parameters ""Not published"".",claude-second-read,corrected by m118-conditions-the-sheets-state
b09,V005230,D-FLASH-PC-ABS-TDS-EN,Izod impact strength,disagrees: condition,"Value 43.5-44.5 KJ/m2 is right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Izod Impact Strength (X-Y) ISO 180 KJ/m2 43.5~44.5"" names the standard (and the hammer) and nothing about a notch. ISO 180 covers both notched and unnotched and this sheet names neither.",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b09,V005997,R-COLORFABB-TDS-E-colorFabb-nGen-CF10,Tensile strain at strength,disagrees: condition,"Value 3,66 % is right, but Direction reads ""Unstated"" and the sheet states it for this table on p. 2: ""The reported properties are an average of a batch of 3D printed specimens. The specimens have been printed in XY plane, using 0.15mm layerheight, 100% infill, 0.4mm nozzle, 230 °C nozzle temperature and 80 °C bed temperature"". The row is from the p. 1 table headed ""TYPICAL MATERIAL PROPERTIES - 3D Printed"" / ""Mechanical Properties - 3D Printed"", and Specimen type also reads ""Not published (do not assume printed)"" and Specimen / print parameters ""Not published"".",claude-second-read,corrected by m118-conditions-the-sheets-state
b09,V005782,R-COLORFABB-TDS-varioShore-TPU-95A,Melting temperature,disagrees: condition,"Value 130 °C is right, but Specimen type reads ""Not published (do not assume printed)"" and the sheet says where the figure comes from. The row is in the table marked ""Thermal Properties*"", whose footnote reads ""*These results are obtained from the information provided by the supplier of the raw material, and are based on UNFOAMED material data"". The same colorFabb footnote was read as ""Raw material value"" elsewhere in this second read (V009465, V009464, V009463 on the PLA/PHA sheet), so the same sentence is being read two ways.",claude-second-read,corrected by m118-conditions-the-sheets-state
b09,V005897,R-COLORFABB-TDS-E-ColorFabb-Color-on-Demand,Charpy strength,disagrees: condition,"The row records Notch ""Unnotched"" and the sheet says the opposite: ""Charpy Impact Charpy Notch, ISO 179 ≤5.0 kJ/m2"" - Charpy Notch is notched. The row sits in the sheet's ""Mechanical Properties - Injection Molded*"" table while Specimen type reads ""Not published (do not assume printed)"". The bound (≤5.0) is carried correctly.",claude-second-read,"corrected by m118-conditions-the-sheets-state, m119-a-notch-is-what-the-row-says"
b09,V005122,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--f2fe15,Impact strength,disagrees: condition,"Value 6.2 kJ/m2 is right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Charpy Impact strenght 2.75J GB/T 1843 6.2"" names the standard (and the hammer) and nothing about a notch. 6.2 kJ/m2 is a notched-range figure for a glass-filled ABS.",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m128-specimens-the-sheet-states"
b09,V005817,R-COLORFABB-colorFabb-VarioShore-TPU-TDS,Hardness,disagrees: standard,"Value 92 Shore A is right, but Standards and Standard / load read ""Not published"" and the sheet names the method on the table row: ""Hardness Shore A 92 ASTM D-2240"". ASTM D2240 is in the repo vocabulary. The Locator, ""p. 1: Shore hardness of"", points at the prose sentence (""base Shore hardness of 92A"") rather than the table line that carries the method.",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b09,V005781,R-COLORFABB-TDS-varioShore-TPU-95A,Glass transition temperature,disagrees: condition,"Value -20 °C is right, but Specimen type reads ""Not published (do not assume printed)"" and the sheet says where the figure comes from. The row is in the table marked ""Thermal Properties*"", whose footnote reads ""*These results are obtained from the information provided by the supplier of the raw material, and are based on UNFOAMED material data"". The same colorFabb footnote was read as ""Raw material value"" elsewhere in this second read (V009465, V009464, V009463 on the PLA/PHA sheet), so the same sentence is being read two ways.",claude-second-read,corrected by m118-conditions-the-sheets-state
b10,V006100,R-FILLAMENTUM-Technical-Data-Sheet-PETG-EN-06052020-FE,HDT,disagrees: condition,"The load is lost. The sheet prints two HDT rows: ""Heat distortion temperature 70 °C ASTM D648 0.455 MPa"" and ""62 °C ASTM D648 1.820 MPa"". The row takes the 70 °C value but holds Standard / load ""ASTM D648"" and Test load MPa ""Not published"" - the only thing that tells the two rows apart is gone. The repo records exactly this load elsewhere on a Fillamentum sheet (V001954, ""ASTM D648, 0.455 MPa"" -> 0.45).",claude-second-read,corrected by m118-conditions-the-sheets-state
b10,V006016,R-FILLAMENTUM-TDS-Fishy-filament-Porthcurno-EN-06042023,Impact strength,disagrees: condition,"The row records Notch ""Unnotched"". The sheet prints ""Charpy impact strength 5 kJ/m2 ISO 180 notched, 23 °C"" - its Test Condition cell says notched. The recorded notch state is the opposite of the document. (The sheet also labels an ISO 180 test ""Charpy"", which is why the row is the generic Impact strength; that part is faithful.)",claude-second-read,"corrected by m119-a-notch-is-what-the-row-says, m132-conditions-the-row-states"
b10,V006071,R-FILLAMENTUM-Technical-Data-Sheet-ASA-Extrafill-03012019,Melt mass-flow rate,disagrees: condition,"The melt-flow condition is lost. The sheet prints ""Melt flow index 5 g/10 min 220 °C, 10 kg"" (this sheet leaves the Test Method cell empty, so Standards ""Not published"" is right), but Standard / load is ""Not published"" and Test temperature is ""Not published"" too. A melt flow index without its temperature and load is not a comparable number; other makers' melt-flow rows in this corpus carry it (V004495 190°C/2.16 kg, V004186 235°C/5.0 kg).",claude-second-read,"deferred to V2.1: conditions and standards the sheet states that the reader could not pair (QIDI's bilingual columns, per-line notches and loads); the classes the sweep reached are fixed table-wide by m128-m132, the rest are read per document in V2.1 (claude, 2026-09-22)"
b10,V006079,R-FILLAMENTUM-Technical-Data-Sheet-ASA-Extrafill-03012019,HDT,disagrees: condition,"The load is lost. The sheet prints two HDT rows: ""Heat distortion temperature 86 °C ASTM D648 1,8 MPa"" and ""96 °C ASTM D648 0,45 MPa"". The row takes the 86 °C value but holds Standard / load ""ASTM D648"" and Test load MPa ""Not published"". An HDT with no load does not say what the sheet published.",claude-second-read,corrected by m118-conditions-the-sheets-state
