ID,Workstream,Class,Severity,Title,Status,Commits,Resolution,Evidence,Repro
B-03,B-physics,defect,high,"Z-direction rows coded as direction ""unknown"" (locator names Z)",fixed,6cc6074,m20: 18 Z directions,"18 rows whose locator reads ""... Z"": S-PPA-TDS p. 1 (M069 PPA) V001291, V001293, V001295, V001297, V001299, V001301; D-IPCON-PPA p. 1 (M071 PPA-GF) V001328, V001330, V001332, V001334, V001336, V001338; S-PPSGF-TDS-0 p. 1 (M074 PPS-GF) V001380, V001382, V001384, V001386, V001388, V001390. Re-read: S-PPA-TDS prints ""Tensile Strength Z ... 40 MPa"". Ambiguous X-Z labels also coded unknown: R-ERYONE-PETG-GF-TDS Part III V001973 (25.1 MPa vs XY 53.6), V001974, V001975; M034 ASA-GF V002205, V002206, V002208 (behave as upright bars). These feed B-04.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A14-direction-in-locator-not-coded, A14b-xz-label-ambiguous"
B-04,B-physics,defect,high,"""Direction unstated"" conversions are learned from those Z rows and inflate XY estimates by 1.35-1.6x",fixed,6cc6074 740216b,Z rows recoded; unknown-direction offsets capped at documented,"meta.estimateModel fitted offsets (log): tensileStrengthXY ""ultimate unk"" +0.439 (documented +0.1; 5 of its 6 pairs are the Z rows of B-03), tensileModulusXY ""tensile unk"" +0.309 and ""flexural unk"" +0.44 (documented 0), elongationXY ""break unk"" +0.464 (documented 0), flexural strength ""flexural unk"" -0.06 vs -0.55 for XY. Physically a filament-sheet value without a direction is an XY or a moulded bar, both >= the printed XY value, so the offset should be <= 0. Inflated estimates: M049 PA6 strength V000919 78 -> 121 MPa (estimate 66.3-112), M085 PE modulus V001519 3.5 -> 4.77 GPa, M045 PEBA modulus V000841 80 -> 124 MPa and strength V000839 30 -> 46.5, M064 PA-ESD modulus V001205 6.7 -> 10.4 GPa, M076 BVOH strength V001419 34 -> 52.7, M066 PET modulus V001761 2.62 -> 4.07 GPa, M020 PETG V000414 53 -> 82.2, M037 PC-CF V000736 58 -> 89.9, M090 CPE-CF elongation 8 -> 12.7 %, M082 PP V002054 13.9 -> 21.6 (30 evidence items in all).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check (not a separate check); node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.properties.tensileStrengthXY.conversions)""; list pairs with the XY/unk pairing snippet in NOTES.md"
B-05,B-physics,defect,high,PPA heat deflection headline is the annealed value; the as-printed values were not transcribed,fixed,6cc6074,"m20/m21: PPA annealed labels, as-printed 103 °C headline","S-PPA-TDS p. 1 prints ""Vicat 106 °C; 133 °C (annealed)"" and ""HDT ISO 75 0.45 MPa 103 °C; 131 °C (annealed)"" (re-read with pdfjs). Data: V001289 HDT 131 and V001288 Vicat 133 with Post-processing ""Not published""; 103 and 106 are absent. M069 PPA headline hdt045 = 131 (headlines.csv M069,hdt045,V001289) passes Strict for HDT >= 104-131 °C that an as-printed part (103 °C) fails. The source also gives Tm 246 °C (V001287), low for a PPA (typically 290-325), consistent with a PA6T/6I-type copolymer.","Re-read .cache/sources/S-PPA-TDS.pdf p. 1 (pdfjs text; helper in NOTES.md). physics-check has no row for it: the PPA envelope admits annealed values, and the condition is not coded"
B-06,B-physics,defect,medium,"Bambu sheets that state ""All the specimens were printed ... annealed and dried at X °C"" are coded ""specimen not stated / post-processing not published""",fixed,6cc6074,m20: Bambu printed specimens and annealing sentences,"Re-read 16 cached Bambu sheets: the statement is present in B-pa6-gf-TDS, B-pet-cf-TDS, B-pc-fr-TDS, B-abs-gf-TDS, B-petg-hf-TDS, B-tpu-for-ams-TDS (70 °C 12 h), B-pla-tough-upgrade-TDS, B-pla-translucent-TDS, B-pla-sparkle-TDS (50-55 °C 8 h) and others, but their rows are ""Not published (do not assume printed)"" and/or Post-processing ""Not published"" (e.g. PET-CF V001269 HDT1.8 182, V001270 HDT0.45 205; PA6-GF V000943-V000958; TPU for AMS V000775), while the same wording on B-pa6-cf-TDS, B-PC-TDS is coded Printed/annealed. Physics consequence: M067 PET-CF headline HDT 205 °C is the 80 °C/12 h annealed (cold-crystallised, Tc 130 °C) value of a slow-crystallising PET, shown and screened as unconditioned; printed values are treated as possibly moulded (B2: 23 medium headline rows).",node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B2-headline-condition; per-source tally snippet in NOTES.md
B-07,B-physics,defect,medium,"Heat-deflection model ignores annealing and treats slow crystallisers (PET, PPS, PPA, BVOH, PVA) as crystallised semicrystalline bars",fixed,c50a00e 740216b,printsAmorphous; annealed values not averaged,"estimates.js kindOf() has no annealed flag, so as-printed and annealed HDT of one formulation are averaged as one kind: M019 PLA-GF V000350 75.5 + V000353 114.7 (flagged conflict), M074 PPS-GF V002071 236.3 / V002072 248.9 (annealed 130/230 °C). The matrix class for PET/PPS/PPA/BVOH/PVA is semi-unfilled/semi-filled though estimate-model.json itself says they print largely amorphous: M066 PET HDT1.8 V001762 65.7 -> 96.5 °C (+30.8 semi-unfilled gap) and estimate 71.2-109 (plausible to 132) against its own Vicat 65.9 (V001763); M076 BVOH Vicat 90 (V001424) -> estimate 54.7-117 (plausible to 158). The fitted semi-filled class learns from annealed PET-CF 205 / PPS-CF 264 / PPS-GF 241, so M068 PET-GF measured 81.6 (as printed) is an outlier vs 114 expected (meta.estimateModel.outliers). PLA (also a slow crystalliser) is declared amorphous, PET semicrystalline: inconsistent.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C7-slow-crystalliser-converted-as-semicrystalline, C6-hdt-estimate-above-own-vicat, C2-ordering-estimate (M068 vs M066)"
B-08,B-physics,defect,high,TPU heat deflection is estimated (and certified to screen) from a physically impossible source value,fixed,740216b,No elastomer HDT estimate (owner ruling),"M039 TPU hdt045 estimate 70.2-84.6 °C (plausible 61.2-93.6, canScreen true) from I-TPU-TDS V000765 (74 °C at 0.455 MPa) and V000766 (49 °C at 1.82 MPa) on a 95A TPU whose sheet gives tensile modulus 26 MPa (re-read). ISO 75 / ASTM D648 stop at 0.2 % outer-fibre strain, so a bar deflects at the temperature where E ~ sigma/0.002 = 225 MPa (0.45 MPa) or 900 MPa (1.8 MPa); a 26 MPa elastomer exceeds that at room temperature. estimate-model.json notApplicable.elastomerHdt exempts materials whose own sources publish an HDT; ""HDT 1.8 elastomer"" (+13.8, 1 pair) is fitted from the same sheet.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C4-estimate-where-not-applicable, A3b-hdt-on-soft-matrix"
B-09,B-physics,suspect,medium,"TPU for AMS modulus 1190 MPa is inconsistent with its own 68D hardness, >650 % elongation and N/A heat deflection",fixed,2ace029,m24: TPU for AMS moduli flagged implausible,"M040 V000775 Tensile modulus XY 1.19 GPa and V000776 Z 0.60 GPa, SourceID B-tpu-for-ams-TDS, Locator p. 2 ""Young's Modulus (X-Y) 1190 +/- 0.4 MPa"" (transcription faithful). Qi-Joyce-Boyce for 68D gives ~208 MPa; 22.4 MPa strength / 1.19 GPa = 1.9 % linear strain for a bar that stretches >650 %; the same sheet lists HDT as N/A, which fits a low modulus, not 1.19 GPa (a 1.19 GPa bar would have an HDT at 0.45 MPa); +/- 0.4 MPa on 1190 is implausibly tight. Effects: Strict PASS for tensileModulusXY >= 1.18 GPa (a TPU among rigid candidates); the ""hardness"" conversion pair +1.75 widens its sd to 0.885; the elastomer group spread plausibly drives M086 OBC modulus estimate 0.016-1.14 GPa (plausible to 2.75 GPa) for an olefin block copolymer whose modulus is 0.01-0.1 GPa.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C2b-modulus-vs-shore, B1-headline-outside-envelope, D2-strict-pass-envelope-fails (M040)"
B-10,B-physics,policy,medium,Physically self-contradictory source values are published and screened without a caveat,fixed,2ace029,m24 flags; MEAS-PHYSICS lint rules,"Transcriptions verified against the sheets, but physics rules them out: M035 PC V000683 HDT0.45 112 < V000682 HDT1.8 117 (B-PC-TDS p. 2; a lighter load cannot deflect earlier; PC headline hdt045 = 112), with V000678 Tm 228 °C for amorphous PC and Vicat 119 < Tg 145; V000970 (X-CarbonX-CF-PA12-TDS-v1), V001013 (X-FIBREX-PA12-GF30), V001206 (X-3DXSTAT-ESD-PA12) Tg 158 °C for PA12 (Tg 35-55 °C; a template value); M001 PLA V000008 HDT0.45 80 °C (X-ECOMAX-PLA-TDS-v3, no annealing stated, Tg 55 °C; PolySonic PLA 53 °C) is the PLA headline and passes Strict for HDT >= 67-80 °C; M073 PPS-CF V001359 264 / V001358 235 °C ""not annealed"" for a PPS with Tg 100 °C; M051 PA6-GF conditioned Z modulus V001192 2.593 > XY V001191 2.053 GPa; M035 PC Z elongation V000690 2.1 % below its Z stress/modulus 56 MPa/1.45 GPa = 3.9 %; M032 ASA Aero V000646 0.9 % < 21/1.18 = 1.8 %.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A2-hdt045-below-hdt18, A1-outside-envelope (Tg), A3-pla-hdt-above-tg-not-annealed, A6-z-above-xy, A9-break-strain-below-linear-strain"
B-11,B-physics,policy,medium,The PE and PA6 materials are represented by compounds that are not the neat polymer,fixed,2044c94,m26: PA6 Neat declared variant; identity notes,"M085 PE has one grade, G085-01 Spectrum HDPE: 1.1 g/cm³ (V001516), Young's modulus 3.5 GPa (V001519), flexural 3.2 GPa (V001520), 80 HRM (re-read S-SPECTRUM-en-tds-spectrum-hdpe). HDPE is 941-970 kg/m³ and 0.6-1.4 GPa. The grade is declared ""undisclosed dense filler"", which keeps it out of the family, but the material called PE shows density 1100 and estimates modulus 2.97-7.41 GPa, strength 21.5-54.1 MPa, HDT 52-124 °C. M049 PA6 is Spectrum ""PA6 Neat"" G049-01: density 1.25 g/cm³ (V000917), modulus 3.4 GPa (V002078) (re-read); neat PA6 is 1130-1150 kg/m³, so it is the base against which PA6-CF 1090 and PA6-GF 1140 look impossible, and it lifts the polyamide density group.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B1-headline-outside-envelope, C2-ordering-data, D1/D2 rows for M049 and M085"
B-12,B-physics,policy,low,"Filled-grade densities below the unfilled polymer: the density basis (filament, printed part, resin) is not recorded",open,,"Density basis (filament, part, resin) not a column; estimate bounds allow 5 % porosity","Carbon (1750-1800) and glass (2500-2600 kg/m³) fibre cannot lower a compound's density, yet: M033 ASA-CF V000653 1020 (ASA 1050), M050 PA6-CF V000922 1090 and M051 PA6-GF V000943 1140 (verified in B-pa6-gf-TDS: 1.14 g/cm³), M059 PA612-CF V001052 1030, M073 PPS-CF V001353 1260, M074 PPS-GF V001374/V001391 1360 (PPS 1350), M018 PLA-CF V000323 1220, M024 PETG-CF V000484 1250, M067 PET-CF V001264 1290, M090 CPE-CF V001676 1160, M037 PC-CF V000733 1180, M025 PETG-GF V000505 1260, M038 PC-GF V001829 1176 (""Printed Part Density"", R-BASF-PCGF30-TDS p. 2). These are plausible only as porous filament or printed-part densities. Strict passes/fails density requirements on them (D2: 8 rows).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A10-filled-density-below-base, C2-ordering-data"
B-13,B-physics,defect,medium,Density estimates for polyamides contradict both physics and the material's own measurement,fixed,740216b,Rule-of-mixtures density bounds,"M052 PA12 estimate 1040-1180 kg/m³ (centre 1110, plausible 1010-1210) although its own reference grade publishes 1010 (V002002) and PA12 is 1010-1020; M055 PA66 1050-1170 (plausible from 1020) vs its own Zytel 1140 (V002033); M056 PA66-CF 1050-1190, centre below unfilled PA66; M058 PA612 1020-1110 (PA612 1060); M060 PA612-GF plausible from 1050; M038 PC-GF 1150-1330 (PC alone is 1200). The density model has no rule-of-mixtures structure, pools filament/printed-part densities (B-12) and the PA6 1250 compound (B-11) into ""aliphatic polyamide"", and gives the own reference only 30 % weight (ownShare 0.3) because its formulation differs from the representative grade.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C1-centre-outside-envelope (density), D1 rows density for M052/M055/M056/M058/M060"
B-14,B-physics,policy,low,Moisture (conditioned to dry) offsets are one value for every polymer,fixed,740216b,Wet offset by water uptake,"estimate-model.json wet: modulus +0.25, strength +0.12, elongation -0.4 (log). Printed polyamide pairs in the snapshot show much more: PolyMide PA6-GF modulus V001179 4.431 dry vs V001191 2.053 conditioned (ln 0.77), CoPA V001023 2.223 vs V001035 1.053 (0.75); strength V001181 84.5 vs V001193 50.8 (0.51), V001025 66.2 vs V001037 31.4 (0.75); elongation V001183 3.4 vs V001195 19.4 (-1.74); PA12-CF strength V000982 71.6 vs V000994 73.4 (about 0). The build itself fits ""tensile Z wet"" +0.707. A PA6-type material with only conditioned data would be estimated ~2x too soft and too weak when dry; a PA12 or non-hygroscopic one would be over-corrected.","node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.properties.tensileModulusXY.conversions)"""
B-15,B-physics,policy,low,Heat-deflection estimates for unfilled semicrystalline polymers are capped only at the melting point,partly fixed,740216b,Own Vicat caps unfilled HDT; Tm-20 cap rejected by the back-test (PVDF 158 °C),"bounds.hdtAboveMelting caps at Tm with sd 6 °C; an unfilled bar deflects well below Tm (moulded PP ~65, PE ~55, PA12 ~40 °C below). M085 PE plausible 45.7-134 °C at Tm 132 (likely 52-124, width 72 °C, ""poor""); M087 POM likely 77.8-151 (plausible 52-163); M076 BVOH to 158 °C above its own Vicat 90 °C; M066 PET to 132 °C above Vicat 65.9. These wide high tails keep materials as Explore candidates for heat requirements physics excludes (D1: PE >= 133, BVOH >= 155, PET >= 130 °C).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C6-hdt-estimate-near-tm-unfilled, C6-hdt-estimate-above-own-vicat, C3-likely-range-too-wide (hdt045)"
B-16,B-physics,policy,medium,Estimate ranges are not truncated at the lower bounds the material's own measurements prove,fixed,7bc880d,Implied bounds trim estimate ranges,"58 estimates show plausible (and 7 likely) ranges below an implied bound that only vetoes screens: M049 PA6 hdt045 plausible 71.9-153 though its own HDT1.8 is 90 °C (V002079; HDT0.45 >= HDT1.8); M052 PA12 hdt045 plausible 56.9-136 vs HDT1.8 84.3 (V002004); M066 PET 53.5-132 vs HDT1.8 65.7 (V001762); M020 PETG strength plausible 42-60.8 vs break 53 (V000414); M090 CPE-CF strength 39.1-75.4 vs yield 70 (V001544); M045 PEBA 16.8-23.1 vs 30-32.8 (see B-02). The reader sees values the evidence rules out, and the back-test judges ranges that ignore them.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C5-range-extends-below-implied-bound, C5-likely-range-below-implied-bound"
B-17,B-physics,policy,low,Elastomer stiffness from Shore hardness uses one offset for Gent (A) and Qi-Joyce-Boyce (D); yield-to-ultimate conversions apply to strain-hardening elastomers,fixed,740216b,Shore A/D offsets; no elastomer yield conversions,"modulusFromShore() implements Gent (1958) and the inverted Qi et al. (2003) relation correctly (95A 43.8 MPa, 90A 20.8, 85A 13.2, 68D 208, 45D 46.5 MPa). A single ""hardness"" offset (fitted -0.714, sd 0.885 from 5 pairs, one of them V000775 at +1.75) mixes two relations with different biases; Gent under-predicts above ~90A (M045 PEBA 90A flexural V000841 80 MPa is 3.8x Gent). Bambu TPU 85A V000826 6.8 MPa > TPU 90A V000810 5.3 MPa (inverted order). ""yield XY"" (+0.02) and ""yield unk"" (+0.1) assume necking thermoplastics; for TPU yield 8.6 MPa (V000756) vs break 39 MPa (V000757) the conversion is off by ln 1.5 and is only rescued by the conflict detector.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C2b-modulus-vs-shore, C2b-headline-modulus-vs-shore, C2c-shore-order-inverted"
