ID,Workstream,Class,Severity,Title,Evidence,Repro,SuggestedFix
B-11,B-physics,policy,medium,The PE and PA6 materials are represented by compounds that are not the neat polymer,"M085 PE has one grade, G085-01 Spectrum HDPE: 1.1 g/cm³ (V001516), Young's modulus 3.5 GPa (V001519), flexural 3.2 GPa (V001520), 80 HRM (re-read S-SPECTRUM-en-tds-spectrum-hdpe). HDPE is 941-970 kg/m³ and 0.6-1.4 GPa. The grade is declared ""undisclosed dense filler"", which keeps it out of the family, but the material called PE shows density 1100 and estimates modulus 2.97-7.41 GPa, strength 21.5-54.1 MPa, HDT 52-124 °C. M049 PA6 is Spectrum ""PA6 Neat"" G049-01: density 1.25 g/cm³ (V000917), modulus 3.4 GPa (V002078) (re-read); neat PA6 is 1130-1150 kg/m³, so it is the base against which PA6-CF 1090 and PA6-GF 1140 look impossible, and it lifts the polyamide density group.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B1-headline-outside-envelope, C2-ordering-data, D1/D2 rows for M049 and M085","Label such a material as its compound (or declare G049-01 a variant too) and do not present its headline as the family value; with a variant as the only grade, publish no family estimate for PE."
B-12,B-physics,policy,low,"Filled-grade densities below the unfilled polymer: the density basis (filament, printed part, resin) is not recorded","Carbon (1750-1800) and glass (2500-2600 kg/m³) fibre cannot lower a compound's density, yet: M033 ASA-CF V000653 1020 (ASA 1050), M050 PA6-CF V000922 1090 and M051 PA6-GF V000943 1140 (verified in B-pa6-gf-TDS: 1.14 g/cm³), M059 PA612-CF V001052 1030, M073 PPS-CF V001353 1260, M074 PPS-GF V001374/V001391 1360 (PPS 1350), M018 PLA-CF V000323 1220, M024 PETG-CF V000484 1250, M067 PET-CF V001264 1290, M090 CPE-CF V001676 1160, M037 PC-CF V000733 1180, M025 PETG-GF V000505 1260, M038 PC-GF V001829 1176 (""Printed Part Density"", R-BASF-PCGF30-TDS p. 2). These are plausible only as porous filament or printed-part densities. Strict passes/fails density requirements on them (D2: 8 rows).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check A10-filled-density-below-base, C2-ordering-data","Record the density basis (filament / printed part / resin) as a column or in Specimen type, and convert or separate them in the density model; note the basis in the drawer."
B-13,B-physics,defect,medium,Density estimates for polyamides contradict both physics and the material's own measurement,"M052 PA12 estimate 1040-1180 kg/m³ (centre 1110, plausible 1010-1210) although its own reference grade publishes 1010 (V002002) and PA12 is 1010-1020; M055 PA66 1050-1170 (plausible from 1020) vs its own Zytel 1140 (V002033); M056 PA66-CF 1050-1190, centre below unfilled PA66; M058 PA612 1020-1110 (PA612 1060); M060 PA612-GF plausible from 1050; M038 PC-GF 1150-1330 (PC alone is 1200). The density model has no rule-of-mixtures structure, pools filament/printed-part densities (B-12) and the PA6 1250 compound (B-11) into ""aliphatic polyamide"", and gives the own reference only 30 % weight (ownShare 0.3) because its formulation differs from the representative grade.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C1-centre-outside-envelope (density), D1 rows density for M052/M055/M056/M058/M060","Model density as identity density (handbook prior, sd 1-2 %) x reinforcement term with a positive sign constraint; let a same-identity reference density dominate; exclude declared variants and porous bases from the identity prior."
B-14,B-physics,policy,low,Moisture (conditioned to dry) offsets are one value for every polymer,"estimate-model.json wet: modulus +0.25, strength +0.12, elongation -0.4 (log). Printed polyamide pairs in the snapshot show much more: PolyMide PA6-GF modulus V001179 4.431 dry vs V001191 2.053 conditioned (ln 0.77), CoPA V001023 2.223 vs V001035 1.053 (0.75); strength V001181 84.5 vs V001193 50.8 (0.51), V001025 66.2 vs V001037 31.4 (0.75); elongation V001183 3.4 vs V001195 19.4 (-1.74); PA12-CF strength V000982 71.6 vs V000994 73.4 (about 0). The build itself fits ""tensile Z wet"" +0.707. A PA6-type material with only conditioned data would be estimated ~2x too soft and too weak when dry; a PA12 or non-hygroscopic one would be over-corrected.","node -e ""const d=require('./dist/db.json');console.log(d.meta.estimateModel.properties.tensileModulusXY.conversions)""","Scale the wet offset by identity (PA6/PA66/CoPA/PPA high; PA12/PA612/PAHT low; non-hygroscopic 0), e.g. by saturated water absorption; never use a conditioned elongation as a lower bound of the dry value."
B-15,B-physics,policy,low,Heat-deflection estimates for unfilled semicrystalline polymers are capped only at the melting point,"bounds.hdtAboveMelting caps at Tm with sd 6 °C; an unfilled bar deflects well below Tm (moulded PP ~65, PE ~55, PA12 ~40 °C below). M085 PE plausible 45.7-134 °C at Tm 132 (likely 52-124, width 72 °C, ""poor""); M087 POM likely 77.8-151 (plausible 52-163); M076 BVOH to 158 °C above its own Vicat 90 °C; M066 PET to 132 °C above Vicat 65.9. These wide high tails keep materials as Explore candidates for heat requirements physics excludes (D1: PE >= 133, BVOH >= 155, PET >= 130 °C).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C6-hdt-estimate-near-tm-unfilled, C6-hdt-estimate-above-own-vicat, C3-likely-range-too-wide (hdt045)",For unfilled semicrystalline matrices cap softly at Tm - 20 °C; use own Vicat as a soft upper bound; keep Tm as the cap for fibre-filled bars.
B-16,B-physics,policy,medium,Estimate ranges are not truncated at the lower bounds the material's own measurements prove,"58 estimates show plausible (and 7 likely) ranges below an implied bound that only vetoes screens: M049 PA6 hdt045 plausible 71.9-153 though its own HDT1.8 is 90 °C (V002079; HDT0.45 >= HDT1.8); M052 PA12 hdt045 plausible 56.9-136 vs HDT1.8 84.3 (V002004); M066 PET 53.5-132 vs HDT1.8 65.7 (V001762); M020 PETG strength plausible 42-60.8 vs break 53 (V000414); M090 CPE-CF strength 39.1-75.4 vs yield 70 (V001544); M045 PEBA 16.8-23.1 vs 30-32.8 (see B-02). The reader sees values the evidence rules out, and the back-test judges ranges that ignore them.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C5-range-extends-below-implied-bound, C5-likely-range-below-implied-bound","(B-01 film part known fixed by the lead.) Once B-01/B-02 make the bounds sound (printed, value not interval top), apply them in rangeFor() as soft lower bounds, as the one-sided published bounds already are."
B-17,B-physics,policy,low,Elastomer stiffness from Shore hardness uses one offset for Gent (A) and Qi-Joyce-Boyce (D); yield-to-ultimate conversions apply to strain-hardening elastomers,"modulusFromShore() implements Gent (1958) and the inverted Qi et al. (2003) relation correctly (95A 43.8 MPa, 90A 20.8, 85A 13.2, 68D 208, 45D 46.5 MPa). A single ""hardness"" offset (fitted -0.714, sd 0.885 from 5 pairs, one of them V000775 at +1.75) mixes two relations with different biases; Gent under-predicts above ~90A (M045 PEBA 90A flexural V000841 80 MPa is 3.8x Gent). Bambu TPU 85A V000826 6.8 MPa > TPU 90A V000810 5.3 MPa (inverted order). ""yield XY"" (+0.02) and ""yield unk"" (+0.1) assume necking thermoplastics; for TPU yield 8.6 MPa (V000756) vs break 39 MPa (V000757) the conversion is off by ln 1.5 and is only rescued by the conflict detector.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C2b-modulus-vs-shore, C2b-headline-modulus-vs-shore, C2c-shore-order-inverted",Separate A and D hardness offsets; exclude V000775 from the fit; skip yield-to-ultimate (and yield-strain-to-break) conversions for elastomer morphology.
B-18,B-physics,note,low,"Headlines resting on specimen-not-stated values while printed, dry values exist for the same material","M038 PC-GF headline tensile strength 40 MPa (V000740) and elongation 9.5 % (V000742), S-PCGF-TDS-1 p. 1 (re-read: ""9.5 +/- 1.5 %""), while BASF Ultrafuse PC GF30 printed XY gives 36.1 MPa (V001835) and 2.4 % (V001837); 9.5 % for glass-filled PC exceeds the unfilled PC headline 3.8 % (V000689). M051 PA6-GF modulus 2.85 GPa (V000951; Bambu, printed per B-06) vs printed 4.261 (V001165) and 4.431 (V001179). M073 PPS-CF strength 87 MPa (V001363) vs printed 63 (V001862). M021 PETG Basic V000431 2.78 GPa XY and V000432 2.55 GPa Z (re-read, faithful) sit above PETG's 1.1-2.6 GPa and fail Strict ""<= 2.7 GPa"".","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check B2-headline-condition-better-exists, C2-ordering-data (M038 elongation)","Prefer a printed, dry, stated-condition value as the representative observation when one exists; otherwise caveat the headline condition in the drawer."
B-19,B-physics,note,low,Screens narrower than physics allows for thinly evidenced identities,"Certified screen ranges cover a small part of the physical envelope where own evidence is thin: M052 PA12 elongation screen 3.72-47.1 % (ownShare 0.14; printed PA12 XY reaches >100 %), M049 PA6 9.53-84.4 %, M055 PA66 elongation 7.31-40.5 % and hdt045 57.7-190 °C, M058 PA612 7.6-33.6 %, M056 PA66-CF 2.8-16.1 % (no own evidence), M091 CoPE 3.33-59.2 %. The back-test certifies classes on average over measured headlines; it cannot see identities with no measured analogue, so these screens rest on the family prior. No estimate screened out a material whose envelope wholly meets a requirement (D3 estimate rows: 0).","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check C9-screen-range-narrow-vs-physics, D3-removed-though-envelope-passes","Require an identity-level measured analogue (or own evidence share) before an estimate may screen, or widen screen ranges for identities without one."
B-20,B-physics,note,low,Envelope sweep summary (non-circular leak check),"2240 selections over thresholds at every envelope edge: Strict PASS although the envelope wholly fails: 15 (material, key, operator) cases, all measured headlines explained by B-05, B-06, B-09, B-10, B-11, B-12, B-18 (PLA HDT 80, PETG Basic 2.78 GPa, ABS-CF HDT 76 (V000594, below ABS itself), TPU for AMS 1.19 GPa, PA6 1250, PET-CF 205 °C, PPS-CF 264 °C, PPS-GF 241 °C, filled densities). Explore+estimates kept although the envelope wholly fails: 73, of which 18 medium: estimate tails beyond physics (M085 PE modulus >= 8.26 GPa, M086 OBC modulus >= 2.7 GPa, M076 BVOH HDT >= 155, M066 PET HDT >= 130, M049 PA6 strength >= 120, M052 PA12 strength >= 96.9) and vetoes (B-01, B-02). Kept by policy (no estimate / one-sided bound): 5. Removed although the envelope wholly meets the requirement: 25, all measured headlines or support-product N/A (PVA), none by an estimate.","node docs/audits/2026-09-15-filtering-estimates-data/physics/physics-check.mjs; then filter physics-findings.csv on check D1-*, D2-strict-pass-envelope-fails, D3-removed-though-envelope-passes",Re-run physics-check.mjs after the fixes above; the D2 list should shrink to source-faithful outliers with accepted reasons.
